,Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Premium_Delivery
0,ialx566343618,37,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,11:30:00,11:45:00,Sunny,High ,motorcycle ,Urban ,120,Clothing,900
1,akqg208421122,34,4.5,12.913041,77.683237,13.043041,77.813237,2022-03-25,19:45:00,19:50:00,Stormy,Jam ,scooter ,Metropolitian ,165,Electronics,300
2,njpu434582536,23,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,08:30:00,08:45:00,Sandstorms,Low ,motorcycle ,Urban ,130,Sports,900
3,rjto796129700,38,4.7,11.003669,76.976494,11.053669,77.026494,2022-04-05,18:00:00,18:10:00,Sunny,Medium ,motorcycle ,Metropolitian ,105,Cosmetics,600
4,zguw716275638,32,4.6,12.972793,80.249982,13.012793,80.289982,2022-03-26,13:30:00,13:45:00,Cloudy,High ,scooter ,Metropolitian ,150,Toys,900
5,fxuu788413734,22,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,21:20:00,21:30:00,Cloudy,Jam ,motorcycle ,Urban ,130,Toys,600
6,njmo150975311,33,4.7,23.369746,85.33982,23.479746,85.44982,2022-03-04,19:15:00,19:30:00,Fog,Jam ,scooter ,Metropolitian ,200,Toys,900
7,jvjc772545076,35,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,17:25:00,17:30:00,Cloudy,Medium ,motorcycle ,Metropolitian ,160,Snacks,300
8,uaeb808891380,22,4.8,17.433809,78.386744,17.563809,78.516744,2022-03-20,20:55:00,21:05:00,Stormy,Jam ,motorcycle ,Metropolitian ,170,Electronics,600
9,bgvc052754213,36,4.2,30.327968,78.046106,30.397968,78.116106,2022-02-12,21:55:00,22:10:00,Fog,Jam ,motorcycle ,Metropolitian ,230,Toys,900
10,vmau710398846,21,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,14:55:00,15:05:00,Stormy,High ,motorcycle ,Metropolitian ,115,Cosmetics,600
11,lcwn330553507,23,4.7,18.56245,73.916619,18.65245,74.006619,2022-03-04,17:30:00,17:40:00,Sandstorms,Medium ,scooter ,Metropolitian ,105,Shoes,600
12,wcjs752046999,34,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,09:20:00,09:30:00,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Apparel,600
13,blhl288691670,24,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,19:50:00,20:05:00,Fog,Jam ,scooter ,Metropolitian ,205,Jewelry,900
14,zyvo118176215,29,4.5,19.176269,72.836721,19.266269,72.926721,2022-04-02,20:25:00,20:35:00,Sandstorms,Jam ,van,Metropolitian ,100,Outdoors,600
15,uhfs888375680,35,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,14:55:00,15:10:00,Windy,High ,scooter ,Metropolitian ,33,Grocery,900
16,vmfv999642595,33,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,20:30:00,20:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,200,Cosmetics,600
17,qfgc848777135,34,4.9,17.426228,78.407495,17.496228,78.477495,2022-03-20,20:40:00,20:50:00,Cloudy,Jam ,motorcycle ,Metropolitian ,205,Snacks,600
18,vwmc439983136,21,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,21:15:00,21:30:00,Windy,Jam ,motorcycle ,Urban ,75,Jewelry,900
19,ntzy027061451,25,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,20:20:00,20:25:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Toys,300
20,pbjm971961647,31,4.7,23.357804,85.325146,23.487804,85.455146,2022-03-10,22:30:00,22:45:00,Sandstorms,Low ,van,Metropolitian ,130,Books,900
21,kjic578711491,37,5.0,11.003669,76.976494,11.013669,76.986494,2022-03-11,08:15:00,08:30:00,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Clothing,900
22,rkzt648036688,33,4.3,12.986047,80.218114,13.116047,80.348114,2022-03-27,19:30:00,19:45:00,Windy,Jam ,scooter ,Metropolitian ,195,Snacks,900
23,segh259958026,25,4.0,19.221315,72.862381,19.261315,72.902381,2022-03-26,12:25:00,12:30:00,Cloudy,High ,motorcycle ,Metropolitian ,170,Jewelry,300
24,owvs520891091,29,4.5,13.005801,80.250744,13.115801,80.360744,2022-03-27,18:35:00,18:50:00,Sunny,Medium ,van,Metropolitian ,75,Outdoors,900
25,edrh271340988,27,5.0,26.849596,75.800512,26.879596,75.830512,2022-04-05,20:35:00,20:40:00,Stormy,Jam ,motorcycle ,Urban ,90,Cosmetics,300
26,qvfd540651807,35,4.3,21.160522,72.771477,21.250522,72.861477,2022-03-12,23:20:00,23:30:00,Cloudy,Low ,scooter ,Metropolitian ,190,Electronics,600
27,gzfn634029300,32,4.0,12.934179,77.615797,13.024179,77.705797,2022-03-16,21:20:00,21:35:00,Windy,Jam ,motorcycle ,Metropolitian ,235,Cosmetics,900
28,xjps180812498,23,4.8,18.51421,73.838429,18.62421,73.948429,2022-04-02,23:35:00,23:45:00,Windy,Low ,van,Urban ,60,Jewelry,600
29,ahpg083217029,31,4.8,11.022477,76.995667,11.052477,77.025667,2022-04-01,22:35:00,22:50:00,Sandstorms,Low ,motorcycle ,Metropolitian ,130,Jewelry,900
30,itii428784576,36,4.1,21.160437,72.774209,21.210437,72.824209,2022-03-05,22:35:00,22:40:00,Stormy,Low ,motorcycle ,Urban ,110,Cosmetics,300
31,asis944862845,26,4.3,15.51315,73.78346,15.56315,73.83346,2022-02-11,23:25:00,23:35:00,Sandstorms,Low ,motorcycle ,Urban ,105,Jewelry,600
32,xzkg140273315,38,4.9,15.561295,73.749478,15.601295,73.789478,2022-02-11,13:35:00,13:40:00,Cloudy,High ,scooter ,Urban ,125,Shoes,300
33,zotl583816092,32,3.5,0.0,0.0,0.11,0.11,2022-03-08,21:35:00,21:45:00,Stormy,Jam ,scooter ,Urban ,35,Grocery,600
34,agoo012263585,32,4.6,18.563934,73.915367,18.693935,74.045367,2022-04-02,22:35:00,22:45:00,Cloudy,Low ,scooter ,Metropolitian ,150,Sports,600
35,ezif478391605,33,4.9,18.55144,73.804855,18.62144,73.874855,2022-03-08,18:55:00,19:10:00,Sunny,Medium ,motorcycle ,Metropolitian ,110,Jewelry,900
36,tixw400453550,20,4.7,18.593481,73.785901,18.633481,73.825901,2022-04-03,14:15:00,14:25:00,Windy,High ,scooter ,Urban ,50,Toys,600
37,mrfx777445506,20,4.8,21.173343,72.792731,21.183343,72.802731,2022-03-30,11:00:00,11:10:00,Sandstorms,Low ,scooter ,Metropolitian ,95,Kitchen,600
38,czjt755903822,35,5.0,17.451976,78.385883,17.471976,78.405883,2022-04-01,09:45:00,09:55:00,Sunny,Low ,scooter ,Urban ,55,Clothing,600
39,zqtj827550147,26,4.9,12.972532,77.608179,12.992532,77.628179,2022-03-28,08:40:00,08:55:00,Stormy,Low ,scooter ,Metropolitian ,55,Kitchen,900
40,luka250567007,22,4.8,12.972532,77.608179,13.042532,77.678179,2022-03-18,23:00:00,23:10:00,Fog,Low ,motorcycle ,Metropolitian ,140,Books,600
41,zkat983341391,35,4.3,13.064181,80.236442,13.134181,80.306442,2022-03-14,17:25:00,17:30:00,Cloudy,Medium ,motorcycle ,Metropolitian ,33,Grocery,300
42,ydhu273019158,37,4.7,21.149569,72.772697,21.239569,72.862697,2022-04-04,19:45:00,19:50:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,260,Clothing,300
43,rpuq263118672,28,4.6,19.091458,72.827808,19.201458,72.937808,2022-03-08,19:10:00,19:25:00,Stormy,Jam ,scooter ,Metropolitian ,110,Cosmetics,900
44,nvck471535045,37,4.9,22.539129,88.365507,22.559129,88.385507,2022-02-13,10:55:00,11:00:00,Fog,Low ,scooter ,Urban ,16,Grocery,300
45,rxgx102974679,23,4.9,19.221315,72.862381,19.281315,72.922381,2022-03-24,21:40:00,21:45:00,Sunny,Jam ,van,Metropolitian ,55,Apparel,300
46,ikas794013321,27,4.9,12.970324,77.645748,13.030324,77.705748,2022-03-19,19:00:00,19:15:00,Windy,Medium ,scooter ,Metropolitian ,125,Snacks,900
