Time	User	ID	Text
Fri Apr 08 15:15:38 +0000 2016	SticakiTv	718457281973788672	RT @MarquesAgnes: "Cultures" a " La gent normal" - https://t.co/Hcl3GbL0GR dilluns vinent! #lagentnormal33
Fri Apr 08 12:07:09 +0000 2016	gemm_70	718409848099115008	RT @MarquesAgnes: "Cultures" a " La gent normal" - https://t.co/Hcl3GbL0GR dilluns vinent! #lagentnormal33
Fri Apr 08 11:55:41 +0000 2016	Infancia03	718406961021263872	RT @lagentnormal33: A la Jia els seus pares li recomanen que no es casi amb un català... per què?Dilluns , conviure entre cultures. https:/…
Fri Apr 08 10:03:31 +0000 2016	ejanet15	718378734752018432	RT @CatalunyaPlural: Avui a #lagentnormal33 parlen sobre prostitució. Nosaltres ahir abordàvem el debat sobre la prostitució a Barcelona ht…
Fri Apr 08 09:58:27 +0000 2016	elsectorsocial	718377457989062656	RT @lagentnormal33: A la Jia els seus pares li recomanen que no es casi amb un xinès...per què? Dilluns, conviure entre cultures. https://t…
Fri Apr 08 09:58:03 +0000 2016	elsectorsocial	718377357661364225	RT @lagentnormal33: A la Jia els seus pares li recomanen que no es casi amb un català... per què?Dilluns , conviure entre cultures. https:/…
Fri Apr 08 09:55:03 +0000 2016	canal_33	718376601856131072	RT @lagentnormal33: A la Jia els seus pares li recomanen que no es casi amb un xinès...per què? Dilluns, conviure entre cultures. https://t…
Fri Apr 08 09:50:55 +0000 2016	plaza_pep	718375561966567424	RT @MarquesAgnes: "Cultures" a " La gent normal" - https://t.co/Hcl3GbL0GR dilluns vinent! #lagentnormal33
Fri Apr 08 09:05:16 +0000 2016	lagentnormal33	718364073092636672	A la Jia els seus pares li recomanen que no es casi amb un català... per què?Dilluns , conviure entre cultures. https://t.co/TUkC2E6A8I
Fri Apr 08 09:02:21 +0000 2016	lagentnormal33	718363339592769536	A la Jia els seus pares li recomanen que no es casi amb un xinès...per què? Dilluns, conviure entre cultures. https://t.co/uy9qyLg3NE
Fri Apr 08 08:59:40 +0000 2016	lagentnormal33	718362666092347393	RT @MarquesAgnes: "Cultures" a " La gent normal" - https://t.co/Hcl3GbL0GR dilluns vinent! #lagentnormal33
Fri Apr 08 08:56:20 +0000 2016	francescxavierp	718361824396230656	RT @MarquesAgnes: "Cultures" a " La gent normal" - https://t.co/Hcl3GbL0GR dilluns vinent! #lagentnormal33
Fri Apr 08 08:54:25 +0000 2016	MarquesAgnes	718361342349045760	"Cultures" a " La gent normal" - https://t.co/Hcl3GbL0GR dilluns vinent! #lagentnormal33
Fri Apr 08 01:32:13 +0000 2016	ejanet15	718250059515719681	RT @annapont75: #lagentnormal33  interessantíssim programa x desestigmatitzar la prostitució.
Fri Apr 08 01:31:44 +0000 2016	ejanet15	718249939776745473	RT @Cristinabgrd: Després de #lagentnormal33 interessant recuperar més veus. La prostitució ja està regulada, mal regulada! https://t.co/af…
