country,vehicle,generation,generation_link,main_link,main_img,plate_number,plate_img,description,username,user_link,upload_time,likes,comments
España,Nissan Juke,"1st gen (F15), 2010–2014",/gallery.php?markaavto=72&model=3531&modgen=1813,/es/nomer30160606,https://img03.platesmania.com/251108/m/30160606.jpg,S 0677 BCL,https://img03.platesmania.com/251108/inf/30160606db88ee.png,"Mallorca, Illes Balears (Spain) - 2025",El_Vocho,/user95504,2025-11-08 18:54:16,0,0
España,Mitsubishi Pajero,"3rd gen 3-door SUV (V60/NM/NP), 1999–2006",/gallery.php?markaavto=70&model=1224&modgen=3151,/es/nomer30160541,https://img03.platesmania.com/251108/m/30160541.jpg,1756 NBZ,https://img03.platesmania.com/251108/inf/30160541c7d741.png,"Mallorca, Illes Balears (Spain) - 2025 Former license plate: [PL]GND 1U46 License plate frames",El_Vocho,/user95504,2025-11-08 18:48:44,1,0
España,Alfa Romeo Junior,"Compact SUV (966), 2024–",/gallery.php?markaavto=15&model=5965&modgen=21938,/es/nomer30160359,https://img03.platesmania.com/251108/m/30160359.jpg,5234 NFC,https://img03.platesmania.com/251108/inf/301603598de612.png,"Mallorca, Illes Balears (Spain) - 2025",El_Vocho,/user95504,2025-11-08 18:34:03,2,0
España,Mercedes-Benz SL-Klasse,"4th gen (R129), 1989–2001",/gallery.php?markaavto=66&model=2298&modgen=2118,/es/nomer30160302,https://img03.platesmania.com/251108/m/30160302.jpg,H 7539 BBH,https://img03.platesmania.com/251108/inf/30160302b443f3.png,"Mallorca, Illes Balears (Spain) - 2025",El_Vocho,/user95504,2025-11-08 18:29:24,1,0
España,Volvo FH,"3rd gen, facelift, 2020–",/gallery.php?markaavto=97&model=1945&modgen=5140,/es/nomer30160296,https://img03.platesmania.com/251108/m/30160296.jpg,8921 MKJ,https://img03.platesmania.com/251108/inf/301602969d9f55.png,"November 7th 2025 On the A50, in Heelsum, Gelderland, Netherlands #AnglesMorts #ConvoiExceptionnel #Panalon #Pañalón #Pañalon",xdTAGCLAN,/user98708,2025-11-08 18:28:55,2,0
España,,#ConvoiExceptionnel,/gallery.php?dop=ConvoiExceptionnel,/es/nomer30160281,https://img03.platesmania.com/251108/m/30160281.jpg,R 1816 BDN,https://img03.platesmania.com/251108/inf/301602812ed602.png,2025-11-08 18:27:41,xdTAGCLAN,/user98708,2025-11-08 18:27:41,0,0
España,Toyota Auris,"2nd gen Hatch (E180), facelift, 2015–2019",/gallery.php?markaavto=93&model=1724&modgen=20198,/es/nomer30160253,https://img03.platesmania.com/251108/m/30160253.jpg,2066 KRY,https://img03.platesmania.com/251108/inf/301602536d08f4.png,"Gironde (33), France",netsui,/user101492,2025-11-08 18:24:51,1,0
España,Ford Mustang,"6th gen 2-door Coupé (S550), 2014–2017",/gallery.php?markaavto=40&model=625&modgen=1100,/es/nomer30160245,https://img03.platesmania.com/251108/m/30160245.jpg,6767 LBB,https://img03.platesmania.com/251108/inf/30160245b63f3d.png,"Mallorca, Illes Balears (Spain) - 2025 #US-Spec",El_Vocho,/user95504,2025-11-08 18:24:25,1,0
España,Land Rover Range Rover Sport,"1st gen (L320), 2005–2013",/gallery.php?markaavto=56&model=994&modgen=2057,/es/nomer30160158,https://img03.platesmania.com/251108/m/30160158.jpg,5907 DSG,https://img03.platesmania.com/251108/inf/3016015864cf1f.png,"Mallorca, Illes Balears (Spain) - 2025",El_Vocho,/user95504,2025-11-08 18:16:27,1,0
España,Mercedes-Benz Actros,"3rd gen (MP4/MP5), 2011–",/gallery.php?markaavto=66&model=1125&modgen=3235,/es/nomer30160079,https://img03.platesmania.com/251108/m/30160079.jpg,9672 LRL,https://img03.platesmania.com/251108/inf/301600790ef35f.png,"Mercedes-Benz Actros 2448 Vilalonga, Pontevedra",mruruskfa,/user109887,2025-11-08 18:10:54,1,0
country,vehicle,generation,generation_link,main_link,main_img,plate_number,plate_img,description,username,user_link,upload_time,likes,comments
España,,,,/es/nomer30160078,https://img03.platesmania.com/251108/m/30160078.jpg,3283 NDZ,https://img03.platesmania.com/251108/inf/30160078500031.png,2025-11-08 18:10:52,El_Vocho,/user95504,2025-11-08 18:10:52,2,0
España,Mercedes-Benz GLA-Klasse,"2nd gen (H247), 2019–",/gallery.php?markaavto=66&model=6613&modgen=2812,/es/nomer30160056,https://img03.platesmania.com/251108/m/30160056.jpg,5104 NGT,https://img03.platesmania.com/251108/inf/301600563ebae2.png,"Mercedes-Benz GLA200 H247 Vilalonga, Pontevedra",mruruskfa,/user109887,2025-11-08 18:09:20,0,0
España,Volkswagen Golf,"1st gen Cabrio (17), 1979–1993",/gallery.php?markaavto=96&model=1888&modgen=1361,/es/nomer30160038,https://img03.platesmania.com/251108/m/30160038.jpg,C 2669 AW,https://img03.platesmania.com/251108/inf/30160038e6b7d5.png,"Volkswagen Golf I 1.8 Cabrio Vilalonga, Pontevedra",mruruskfa,/user109887,2025-11-08 18:07:52,2,0
España,"Santana Land Rover (I,II,IIA,III-Series)",,,/es/nomer30160021,https://img03.platesmania.com/251108/m/30160021.jpg,O 8432 AB,https://img03.platesmania.com/251108/inf/3016002144705b.png,2025-11-08 18:06:13,mruruskfa,/user109887,2025-11-08 18:06:13,2,0
España,Kia Sorento,"3rd gen (Prime) (UM), 2014–2020",/gallery.php?markaavto=53&model=960&modgen=1643,/es/nomer30160005,https://img03.platesmania.com/251108/m/30160005.jpg,2407 JGV,https://img03.platesmania.com/251108/inf/301600056eb40b.png,"Kia Sorento 2.2 CRDi Vilalonga, Pontevedra",mruruskfa,/user109887,2025-11-08 18:04:31,1,0
España,Land Rover Range Rover,"5th gen (L460), 2022–",/gallery.php?markaavto=56&model=993&modgen=4743,/es/nomer30159993,https://img03.platesmania.com/251108/m/30159993.jpg,3548 MKT,https://img03.platesmania.com/251108/inf/301599930e53dc.png,"Mallorca, Illes Balears (Spain) - 2025",El_Vocho,/user95504,2025-11-08 18:03:06,2,0
España,Ferrari F8,"Tributo (F142), 2019–2023",/gallery.php?markaavto=38&model=11561&modgen=2279,/es/nomer30159981,https://img03.platesmania.com/251108/m/30159981.jpg,3674 LGD,https://img03.platesmania.com/251108/inf/301599812a3302.png,"Ferrari F8 Tributo Vilalonga, Pontevedra",mruruskfa,/user109887,2025-11-08 18:00:19,3,0
España,FIAT Panda,"3rd gen (319), 2011–",/gallery.php?markaavto=39&model=573&modgen=170,/es/nomer30159971,https://img03.platesmania.com/251108/m/30159971.jpg,1309 KHY,https://img03.platesmania.com/251108/inf/3015997151ca29.png,"Mallorca, Illes Balears (Spain) - 2025",El_Vocho,/user95504,2025-11-08 17:58:46,0,0
España,Opel Mokka,"2nd gen (B; P2QO), facelift, 2024–",/gallery.php?markaavto=74&model=5711&modgen=25047,/es/nomer30159966,https://img03.platesmania.com/251108/m/30159966.jpg,0226 MRG,https://img03.platesmania.com/251108/inf/3015996667cf6c.png,"Opel Mokka 1.2T Vilalonga, Pontevedra",mruruskfa,/user109887,2025-11-08 17:58:27,0,0
España,Kässbohrer,#Repeater,/gallery.php?dop=Repeater,/es/nomer30159950,https://img03.platesmania.com/251108/m/30159950.jpg,9672 LRL,https://img03.platesmania.com/251108/inf/301599508e4814.png,2025-11-08 17:55:49,mruruskfa,/user109887,2025-11-08 17:55:49,0,0
country,vehicle,generation,generation_link,main_link,main_img,plate_number,plate_img,description,username,user_link,upload_time,likes,comments
España,Kässbohrer,,,/es/nomer30159949,https://img03.platesmania.com/251108/m/30159949.jpg,R 7401 BDH,https://img03.platesmania.com/251108/inf/30159949dbe04c.png,2025-11-08 17:55:43,mruruskfa,/user109887,2025-11-08 17:55:43,0,0
España,Hyundai Santa Fe,"5th gen (MX5), 2023–",/gallery.php?markaavto=46&model=800&modgen=13983,/es/nomer30159926,https://img03.platesmania.com/251108/m/30159926.jpg,3011 NDJ,https://img03.platesmania.com/251108/inf/301599264f9b7e.png,"Mallorca, Illes Balears (Spain) - 2025",El_Vocho,/user95504,2025-11-08 17:53:10,3,0
España,FIAT Panda,"3rd gen (319), 2011–",/gallery.php?markaavto=39&model=573&modgen=170,/es/nomer30159876,https://img03.platesmania.com/251108/m/30159876.jpg,3988 LTJ,https://img03.platesmania.com/251108/inf/30159876124cd4.png,"Mallorca, Illes Balears (Spain) - 2025",El_Vocho,/user95504,2025-11-08 17:49:00,0,0
España,Ebro S700,,,/es/nomer30159833,https://img03.platesmania.com/251108/m/30159833.jpg,7136 NBY,https://img03.platesmania.com/251108/inf/30159833961833.png,2025-11-08 17:45:44,El_Vocho,/user95504,2025-11-08 17:45:44,1,0
España,Tesla Model 3,"1st gen (5YJ3), 2017–2023",/gallery.php?markaavto=269&model=9472&modgen=11892,/es/nomer30159617,https://img03.platesmania.com/251108/m/30159617.jpg,5963 LMZ,https://img03.platesmania.com/251108/inf/30159617251566.png,"Picanya, Valencia 11.2024 Hace exactamente un año de esta foto, no sé cómo no la subí en su momento...",Guillesahu,/user99677,2025-11-08 17:24:05,4,0
España,FIAT Panda,"3rd gen (319), 2011–",/gallery.php?markaavto=39&model=573&modgen=170,/es/nomer30159502,https://img03.platesmania.com/251108/m/30159502.jpg,1232 JYJ,https://img03.platesmania.com/251108/inf/301595020a0fc4.png,"Mallorca, Illes Balears (Spain) - 2025",El_Vocho,/user95504,2025-11-08 17:14:18,1,0
