country,vehicle,generation,generation_link,main_link,main_img,plate_number,plate_img,description,username,user_link,upload_time,likes,comments
Francia,Ford Focus,"2nd gen 5-door Hatch (DA3; C307), 2005–2008",/gallery.php?markaavto=40&model=36&modgen=798,/fr/nomer30160589,https://img03.platesmania.com/251108/m/30160589.jpg,HG-372-MH,https://img03.platesmania.com/251108/inf/3016058941cacd.png,"Ford Focus 2 ST Owner's Instagram : @blackst_mk2 Sélestat, France Ex WW-504-QP",jswbb,/user100437,2025-11-08 18:52:36,3,0
Francia,Hyundai ix35,,,/fr/nomer30160512,https://img03.platesmania.com/251108/m/30160512.jpg,BE-945-JA,https://img03.platesmania.com/251108/inf/30160512456bf0.png,2025-11-08 18:46:13,Coucouplay,/user102103,2025-11-08 18:46:13,0,0
Francia,Smart ForTwo,"2nd gen (C451), 2007–2015",/gallery.php?markaavto=88&model=1634&modgen=3251,/fr/nomer30160507,https://img03.platesmania.com/251108/m/30160507.jpg,DT-726-YW,https://img03.platesmania.com/251108/inf/301605078ab47c.png,"Pontault-Combault (77), France 01/10/2025",Coucouplay,/user102103,2025-11-08 18:45:53,0,0
Francia,FIAT Panda,,,/fr/nomer30160504,https://img03.platesmania.com/251108/m/30160504.jpg,BH-136-QX,https://img03.platesmania.com/251108/inf/301605043cd7fc.png,2025-11-08 18:45:44,Coucouplay,/user102103,2025-11-08 18:45:44,0,0
Francia,Chevrolet Aveo,,,/fr/nomer30160501,https://img03.platesmania.com/251108/m/30160501.jpg,BH-881-QT,https://img03.platesmania.com/251108/inf/30160501cdbfa3.png,2025-11-08 18:45:36,Coucouplay,/user102103,2025-11-08 18:45:36,0,0
Francia,Volkswagen Polo,,,/fr/nomer30160498,https://img03.platesmania.com/251108/m/30160498.jpg,FH-257-KR,https://img03.platesmania.com/251108/inf/3016049858cf9e.png,2025-11-08 18:45:28,Coucouplay,/user102103,2025-11-08 18:45:28,0,0
Francia,Chrysler Sebring,"3rd gen Sedan (JS), 2006–2010",/gallery.php?markaavto=30&model=348&modgen=2515,/fr/nomer30160464,https://img03.platesmania.com/251108/m/30160464.jpg,8998 VV 33,https://img03.platesmania.com/251108/inf/30160464113e46.png,"A63 (64), France 05/2025 National double spot (33-64)",Armand,/user101389,2025-11-08 18:43:00,3,0
Francia,Volkswagen Caddy,"2nd gen Van (9K), 1995–2003",/gallery.php?markaavto=96&model=1882&modgen=1125,/fr/nomer30160462,https://img03.platesmania.com/251108/m/30160462.jpg,GK-020-FB,https://img03.platesmania.com/251108/inf/3016046212ca7e.png,"A63 (64), France 05/2025",Armand,/user101389,2025-11-08 18:42:39,0,0
Francia,Tesla Model Y,"1st gen (5YJY), 2020–2025",/gallery.php?markaavto=269&model=10678&modgen=11890,/fr/nomer30160449,https://img03.platesmania.com/251108/m/30160449.jpg,GP-744-NF,https://img03.platesmania.com/251108/inf/30160449c0280e.png,"A63 (64), France 05/2025",Armand,/user101389,2025-11-08 18:41:29,1,0
Francia,Volkswagen ID.3,"1st gen (E11), 2020–",/gallery.php?markaavto=96&model=11979&modgen=8502,/fr/nomer30160432,https://img03.platesmania.com/251108/m/30160432.jpg,GW-033-VT,https://img03.platesmania.com/251108/inf/3016043289a441.png,"A63 (64), France 05/2025",Armand,/user101389,2025-11-08 18:39:52,0,0
country,vehicle,generation,generation_link,main_link,main_img,plate_number,plate_img,description,username,user_link,upload_time,likes,comments
Francia,Renault Austral,"1st gen (HHN), 2022–2025",/gallery.php?markaavto=80&model=14785&modgen=11717,/fr/nomer30160430,https://img03.platesmania.com/251108/m/30160430.jpg,HD-562-CA,https://img03.platesmania.com/251108/inf/30160430906a3b.png,"A63 (64), France 05/2025 #rental",Armand,/user101389,2025-11-08 18:39:36,0,0
Francia,Peugeot 3008,"3rd gen (P64 / E-3008), 2024–",/gallery.php?markaavto=75&model=3949&modgen=15902,/fr/nomer30160420,https://img03.platesmania.com/251108/m/30160420.jpg,HA-754-NX,https://img03.platesmania.com/251108/inf/30160420074f3a.png,"A63 (64), France 05/2025",Armand,/user101389,2025-11-08 18:38:38,0,0
Francia,Renault Captur,"2nd gen (XJB), 2019–2024",/gallery.php?markaavto=80&model=6233&modgen=3066,/fr/nomer30160401,https://img03.platesmania.com/251108/m/30160401.jpg,FP-333-BL,https://img03.platesmania.com/251108/inf/30160401dc7d03.png,"Gironde (33), France",netsui,/user101492,2025-11-08 18:37:24,0,0
Francia,Mercedes-Benz Vito,"3rd gen (W447), 2014–",/gallery.php?markaavto=66&model=1162&modgen=1882,/fr/nomer30160394,https://img03.platesmania.com/251108/m/30160394.jpg,DV-471-QH,https://img03.platesmania.com/251108/inf/301603949cbd85.png,"Gironde (33), France",netsui,/user101492,2025-11-08 18:36:56,0,0
Francia,Renault Clio,"4th gen Hatch (B98), 2012–2020",/gallery.php?markaavto=80&model=1509&modgen=2402,/fr/nomer30160378,https://img03.platesmania.com/251108/m/30160378.jpg,EQ-740-MS,https://img03.platesmania.com/251108/inf/30160378996be9.png,"Gironde (33), France",netsui,/user101492,2025-11-08 18:35:23,0,0
Francia,Renault Clio,"4th gen Hatch (B98), 2012–2020",/gallery.php?markaavto=80&model=1509&modgen=2402,/fr/nomer30160370,https://img03.platesmania.com/251108/m/30160370.jpg,DC-287-RZ,https://img03.platesmania.com/251108/inf/30160370bd40bd.png,"Gironde (33), France",netsui,/user101492,2025-11-08 18:35:01,0,0
Francia,Peugeot 106,"1st gen 5-door Hatch (1C), facelift, 1996–2003",/gallery.php?markaavto=75&model=1432&modgen=12540,/fr/nomer30160363,https://img03.platesmania.com/251108/m/30160363.jpg,DK-307-TG,https://img03.platesmania.com/251108/inf/30160363843e1d.png,"Gironde (33), France",netsui,/user101492,2025-11-08 18:34:23,0,0
Francia,Volkswagen T-Roc,"1st gen SUV (A11), 2017–2022",/gallery.php?markaavto=96&model=9345&modgen=6681,/fr/nomer30160356,https://img03.platesmania.com/251108/m/30160356.jpg,FY-834-EV,https://img03.platesmania.com/251108/inf/30160356718cd5.png,"Gironde (33), France",netsui,/user101492,2025-11-08 18:33:58,0,0
Francia,Kia Niro,"1st gen (DE), 2016–2022",/gallery.php?markaavto=53&model=8476&modgen=963,/fr/nomer30160350,https://img03.platesmania.com/251108/m/30160350.jpg,FM-560-LL,https://img03.platesmania.com/251108/inf/3016035062aaf5.png,"Gironde (33), France",netsui,/user101492,2025-11-08 18:33:35,0,0
Francia,Citroёn Berlingo,"3rd gen Multispace (K9), 2018–2024",/gallery.php?markaavto=31&model=354&modgen=14268,/fr/nomer30160343,https://img03.platesmania.com/251108/m/30160343.jpg,FA-577-NE,https://img03.platesmania.com/251108/inf/3016034353ff5f.png,"Gironde (33), France",netsui,/user101492,2025-11-08 18:32:31,0,0
country,vehicle,generation,generation_link,main_link,main_img,plate_number,plate_img,description,username,user_link,upload_time,likes,comments
Francia,Peugeot 208,"1st gen 5-door Hatch (A9), facelift, 2015–2020",/gallery.php?markaavto=75&model=5545&modgen=12270,/fr/nomer30160339,https://img03.platesmania.com/251108/m/30160339.jpg,FP-507-NG,https://img03.platesmania.com/251108/inf/30160339eefcc9.png,"Gironde (33), France",netsui,/user101492,2025-11-08 18:32:03,0,0
Francia,Alfa Romeo 159,"1st gen Sportwagon (939), 2006–2011",/gallery.php?markaavto=15&model=103&modgen=6701,/fr/nomer30160327,https://img03.platesmania.com/251108/m/30160327.jpg,9322 VL 33,https://img03.platesmania.com/251108/inf/30160327e38630.png,"Gironde (33), France",netsui,/user101492,2025-11-08 18:31:19,1,0
Francia,Citroёn C3,"1st gen (FC/FN), 2002–2010 (–2012 for LATAM-market)",/gallery.php?markaavto=31&model=361&modgen=1483,/fr/nomer30160318,https://img03.platesmania.com/251108/m/30160318.jpg,GV-630-NA,https://img03.platesmania.com/251108/inf/301603183e1436.png,"Gironde (33), France",netsui,/user101492,2025-11-08 18:30:38,0,0
Francia,Mercedes-Benz C-Klasse,"190 Sedan (W201), 1982–1993",/gallery.php?markaavto=66&model=2287&modgen=970,/fr/nomer30160310,https://img03.platesmania.com/251108/m/30160310.jpg,AP-959-TT,https://img03.platesmania.com/251108/inf/3016031081a2fe.png,"Gironde (33), France",netsui,/user101492,2025-11-08 18:30:04,0,0
