country,vehicle,generation,generation_link,main_link,main_img,plate_number,plate_img,description,username,user_link,upload_time,likes,comments
Francia,Renault Latitude,"1st gen (L43), 2010–2015",/gallery.php?markaavto=80&model=3509&modgen=13328,/fr/nomer30125539,https://img03.platesmania.com/251104/m/30125539.jpg,BJ-091-MA,https://img03.platesmania.com/251104/inf/30125539186056.png,"92, France 01/11/25",Alexz92,/user112737,2025-11-04 23:50:01,1,0
Francia,Audi A4,"5th gen Avant (B9.5/8W5/8WD), facelift, 2019–",/gallery.php?markaavto=19&model=3&modgen=6051,/fr/nomer30125524,https://img03.platesmania.com/251104/m/30125524.jpg,GV-256-PP,https://img03.platesmania.com/251104/inf/30125524fcf2bd.png,"92, France 01/11/25",Alexz92,/user112737,2025-11-04 23:49:06,0,0
Francia,Renault Kangoo,"1st gen (F76/K76), facelift, 2003–2008 (–2018 for LATAM-market)",/gallery.php?markaavto=80&model=1514&modgen=3943,/fr/nomer30125514,https://img03.platesmania.com/251104/m/30125514.jpg,AS-327-SY,https://img03.platesmania.com/251104/inf/30125514e88f66.png,"91, France 01/11/25",Alexz92,/user112737,2025-11-04 23:48:18,1,0
Francia,BMW 3 Series,"5th gen Touring (E91), 2005–2012",/gallery.php?markaavto=22&model=87&modgen=7032,/fr/nomer30125505,https://img03.platesmania.com/251104/m/30125505.jpg,AV-385-AN,https://img03.platesmania.com/251104/inf/30125505fa2ac5.png,"Paris, France 01/11/2025",Coucouplay,/user102103,2025-11-04 23:47:40,1,0
Francia,Citroёn C3 Picasso,"1st gen (A58; Global-market), 2009–2017",/gallery.php?markaavto=31&model=382&modgen=2446,/fr/nomer30125502,https://img03.platesmania.com/251104/m/30125502.jpg,ED-935-KH,https://img03.platesmania.com/251104/inf/30125502d6cd5b.png,"Prague, CZ Прага, Чехия 24/10/2024",DTSRN,/user107566,2025-11-04 23:47:26,0,0
Francia,Nissan Micra,"2nd gen 5-door Hatch (K11), 1992–2003",/gallery.php?markaavto=72&model=1318&modgen=12607,/fr/nomer30125501,https://img03.platesmania.com/251104/m/30125501.jpg,AS-984-CX,https://img03.platesmania.com/251104/inf/3012550133634e.png,"Paris, France 01/11/25",Alexz92,/user112737,2025-11-04 23:47:25,1,0
Francia,Audi A1,"2nd gen Sportback (GBA), 2018–",/gallery.php?markaavto=19&model=3487&modgen=5572,/fr/nomer30125498,https://img03.platesmania.com/251104/m/30125498.jpg,GT-400-QR,https://img03.platesmania.com/251104/inf/3012549819a1f4.png,"Paris, France 01/11/2025",Coucouplay,/user102103,2025-11-04 23:47:11,0,0
Francia,Toyota Starlet,,,/fr/nomer30125490,https://img03.platesmania.com/251104/m/30125490.jpg,DT-633-YM,https://img03.platesmania.com/251104/inf/301254905efe4a.png,2025-11-04 23:46:43,Alexz92,/user112737,2025-11-04 23:46:43,1,0
Francia,Renault Twingo,"1st gen (C06), 1992–2007 (–2012 for CO-market)",/gallery.php?markaavto=80&model=1535&modgen=1273,/fr/nomer30125487,https://img03.platesmania.com/251104/m/30125487.jpg,BY-860-VH,https://img03.platesmania.com/251104/inf/301254877cbc3d.png,"Paris, France 01/11/2025",Coucouplay,/user102103,2025-11-04 23:46:38,1,0
Francia,Mercedes-Benz C-Klasse,"2nd gen Wagon (S203), 2001–2007",/gallery.php?markaavto=66&model=2287&modgen=5458,/fr/nomer30125484,https://img03.platesmania.com/251104/m/30125484.jpg,AK-104-XG,https://img03.platesmania.com/251104/inf/3012548456afa0.png,"Paris, France 01/11/25",Alexz92,/user112737,2025-11-04 23:46:15,1,0
