price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood
3000,3,2,FALSE,FALSE,150,apartment,Eixample
1250,1,1,FALSE,FALSE,35,apartment,Eixample
2200,4,2,FALSE,FALSE,90,apartment,Gracia
3468,3,2,FALSE,FALSE,98,apartment,Ciutat Vella
1100,1,1,TRUE,FALSE,45,apartment,Les Corts
2500,3,2,TRUE,FALSE,180,apartment,Eixample
1500,2,2,TRUE,FALSE,60,apartment,Eixample
2057,1,1,TRUE,FALSE,74,apartment,Sant Martí
1800,3,2,FALSE,FALSE,100,apartment,Ciutat Vella
1800,1,1,FALSE,FALSE,90,apartment,Gracia
3144,2,2,FALSE,FALSE,62,apartment,Eixample
1550,3,1,FALSE,FALSE,63,apartment,Sants-Montjuic
1800,1,1,FALSE,FALSE,55,apartment,Sants-Montjuic
2400,2,1,FALSE,FALSE,65,apartment,Ciutat Vella
1600,1,1,FALSE,FALSE,48,apartment,Ciutat Vella
976,3,1,FALSE,FALSE,80,apartment,Ciutat Vella
976,3,1,FALSE,FALSE,80,apartment,Ciutat Vella
2021,2,1,FALSE,FALSE,60,apartment,Eixample
1540,2,1,FALSE,FALSE,75,apartment,Eixample
1500,1,1,TRUE,FALSE,58,apartment,Sant Martí
2300,3,2,TRUE,FALSE,90,apartment,Eixample
2250,3,2,TRUE,FALSE,100,apartment,Eixample
3500,3,3,TRUE,FALSE,205,apartment,Eixample
650,0,1,TRUE,FALSE,28,apartment,Ciutat Vella
1220,1,1,TRUE,FALSE,75,apartment,Sarria-Sant Gervasi
1050,1,1,TRUE,FALSE,61,apartment,Ciutat Vella
1150,2,1,TRUE,FALSE,60,apartment,Ciutat Vella
1200,3,1,TRUE,FALSE,75,apartment,Ciutat Vella
850,1,1,FALSE,FALSE,40,apartment,Ciutat Vella
4000,2,2,TRUE,FALSE,115,apartment,Ciutat Vella
2500,3,2,TRUE,FALSE,139,apartment,Ciutat Vella
1360,2,1,TRUE,TRUE,57,apartment,Ciutat Vella
1690,3,2,FALSE,FALSE,130,apartment,Ciutat Vella
1290,4,2,TRUE,FALSE,120,apartment,Ciutat Vella
1500,2,1,TRUE,TRUE,62,apartment,Ciutat Vella
1130,1,1,TRUE,TRUE,47,apartment,Ciutat Vella
1000,2,3,TRUE,FALSE,70,apartment,Ciutat Vella
1250,2,1,TRUE,TRUE,62,apartment,Ciutat Vella
2300,4,3,TRUE,FALSE,147,apartment,Ciutat Vella
2500,2,2,TRUE,FALSE,122,apartment,Ciutat Vella
2700,4,2,TRUE,TRUE,162,apartment,Ciutat Vella
1100,2,2,TRUE,FALSE,75,apartment,Ciutat Vella
1000,2,2,TRUE,FALSE,66,apartment,Ciutat Vella
1350,1,1,FALSE,TRUE,50,apartment,Gracia
1300,2,1,TRUE,FALSE,60,apartment,Gracia
1350,2,1,TRUE,FALSE,60,apartment,Gracia
2229,3,2,FALSE,FALSE,80,apartment,Eixample
2150,1,1,FALSE,FALSE,35,apartment,Sants-Montjuic
1806,2,2,FALSE,FALSE,80,apartment,Sant Martí
2155,3,2,FALSE,FALSE,80,apartment,Eixample
2317,3,2,FALSE,FALSE,80,apartment,Eixample
2008,3,2,FALSE,FALSE,80,apartment,Eixample
2040,1,1,FALSE,FALSE,45,apartment,Sants-Montjuic
2760,3,2,FALSE,FALSE,80,apartment,Eixample
2000,2,2,TRUE,TRUE,115,apartment,Ciutat Vella
1200,2,1,TRUE,TRUE,61,apartment,Ciutat Vella
1700,2,2,TRUE,TRUE,120,apartment,Ciutat Vella
4900,4,3,TRUE,FALSE,170,apartment,Sarria-Sant Gervasi
2900,4,3,TRUE,FALSE,247,apartment,Sarria-Sant Gervasi
1300,2,1,TRUE,FALSE,60,apartment,Ciutat Vella
1700,2,1,TRUE,TRUE,95,apartment,Ciutat Vella
1800,2,1,TRUE,FALSE,89,apartment,Sant Martí
3900,3,2,TRUE,TRUE,135,apartment,Sant Martí
1050,2,1,TRUE,FALSE,45,apartment,Ciutat Vella
1300,2,1,TRUE,TRUE,55,apartment,Les Corts
2300,2,2,TRUE,TRUE,130,apartment,Les Corts
4200,5,4,TRUE,TRUE,273,apartment,Les Corts
2500,2,3,TRUE,TRUE,150,apartment,Les Corts
2950,5,3,TRUE,FALSE,250,apartment,Les Corts
3000,5,3,TRUE,TRUE,233,apartment,Les Corts
3600,4,4,TRUE,FALSE,248,apartment,Les Corts
3500,3,3,TRUE,TRUE,191,apartment,Les Corts
1100,2,1,TRUE,FALSE,60,apartment,Sarria-Sant Gervasi
8500,3,3,TRUE,TRUE,140,apartment,Eixample
2500,3,2,TRUE,FALSE,105,apartment,Eixample
2200,3,2,TRUE,TRUE,155,apartment,Sarria-Sant Gervasi
2000,3,2,TRUE,FALSE,150,apartment,Ciutat Vella
1300,1,1,TRUE,FALSE,45,apartment,Ciutat Vella
2100,2,2,TRUE,TRUE,92,apartment,Eixample
1100,1,1,TRUE,FALSE,55,apartment,Sarria-Sant Gervasi
1200,2,1,TRUE,FALSE,72,apartment,Eixample
850,2,1,TRUE,FALSE,58,apartment,Eixample
1050,1,1,FALSE,FALSE,50,apartment,Gracia
1500,2,1,TRUE,TRUE,85,apartment,Sant Martí
1100,1,1,TRUE,FALSE,50,apartment,Sant Martí
3750,2,2,TRUE,TRUE,105,apartment,Sarria-Sant Gervasi
1450,3,2,TRUE,FALSE,84,apartment,Eixample
1450,4,1,FALSE,FALSE,128,apartment,Eixample
2500,2,2,TRUE,FALSE,105,apartment,Eixample
2200,3,2,TRUE,FALSE,100,apartment,Eixample
1500,2,1,TRUE,FALSE,62,apartment,Eixample
1200,1,1,TRUE,FALSE,53,apartment,Eixample
2100,4,2,TRUE,FALSE,116,apartment,Eixample
1272,1,1,TRUE,FALSE,67,apartment,Eixample
1900,5,2,TRUE,FALSE,139,apartment,Eixample
1500,2,1,TRUE,TRUE,60,apartment,Eixample
1300,2,1,TRUE,TRUE,60,apartment,Eixample
2400,1,1,TRUE,TRUE,67,apartment,Eixample
2000,2,1,TRUE,FALSE,70,apartment,Eixample
3100,1,1,TRUE,TRUE,50,apartment,Eixample
600,2,1,FALSE,FALSE,42,apartment,Ciutat Vella
4000,6,3,TRUE,TRUE,228,apartment,Eixample
6500,5,5,TRUE,TRUE,234,apartment,Eixample
3800,5,3,TRUE,TRUE,150,apartment,Eixample
2200,2,2,TRUE,FALSE,121,apartment,Eixample
3500,0,3,TRUE,TRUE,260,apartment,Eixample
1950,2,2,TRUE,TRUE,85,apartment,Eixample
1800,2,1,TRUE,FALSE,92,apartment,Eixample
1500,2,1,FALSE,FALSE,45,apartment,Eixample
700,2,1,FALSE,FALSE,50,apartment,Ciutat Vella
840,2,1,TRUE,FALSE,50,apartment,Les Corts
1250,2,2,TRUE,FALSE,151,apartment,Sant Martí
650,1,1,TRUE,FALSE,40,apartment,Gracia
1200,1,1,TRUE,FALSE,40,apartment,Eixample
2505,1,1,FALSE,FALSE,90,apartment,Sant Martí
1260,1,1,FALSE,FALSE,52,apartment,Ciutat Vella
1217,1,1,FALSE,FALSE,40,apartment,Ciutat Vella
3400,5,3,TRUE,FALSE,220,apartment,Sarria-Sant Gervasi
1600,2,1,TRUE,FALSE,50,apartment,Ciutat Vella
1936,1,1,TRUE,FALSE,69,apartment,Sant Martí
2300,2,2,TRUE,FALSE,62,apartment,Sant Martí
680,1,1,FALSE,FALSE,36,apartment,Ciutat Vella
1050,2,1,FALSE,FALSE,55,apartment,Les Corts
550,2,1,FALSE,FALSE,35,apartment,Ciutat Vella
968,1,1,FALSE,FALSE,43,apartment,Ciutat Vella
6213,3,2,FALSE,FALSE,120,apartment,Sant Martí
1702,2,1,FALSE,FALSE,65,apartment,Eixample
1670,1,1,FALSE,FALSE,50,apartment,Ciutat Vella
2600,2,2,FALSE,FALSE,95,apartment,Ciutat Vella
1300,2,1,TRUE,FALSE,80,apartment,Ciutat Vella
850,0,1,FALSE,FALSE,54,apartment,Ciutat Vella
725,0,1,TRUE,FALSE,40,apartment,Eixample
550,1,1,TRUE,FALSE,37,apartment,Sant Andreu
940,2,1,TRUE,FALSE,66,apartment,Sants-Montjuic
1650,3,3,TRUE,FALSE,140,apartment,Eixample
725,0,1,TRUE,FALSE,40,apartment,Eixample
700,0,1,FALSE,FALSE,38,apartment,Ciutat Vella
670,1,1,FALSE,FALSE,32,apartment,Ciutat Vella
840,2,1,TRUE,FALSE,60,apartment,Ciutat Vella
800,2,1,TRUE,FALSE,65,apartment,Sarria-Sant Gervasi
1500,2,1,TRUE,FALSE,80,apartment,Gracia
3500,1,1,TRUE,FALSE,66,apartment,Sant Martí
14800,1,1,TRUE,FALSE,80,apartment,Ciutat Vella
6126,3,2,FALSE,FALSE,130,apartment,Eixample
1900,1,1,FALSE,FALSE,60,apartment,Eixample
2970,3,2,FALSE,FALSE,100,apartment,Eixample
1540,4,1,FALSE,FALSE,73,apartment,Eixample
1500,3,1,FALSE,FALSE,75,apartment,Sants-Montjuic
3080,1,1,FALSE,FALSE,115,apartment,Sarria-Sant Gervasi
4000,3,2,FALSE,FALSE,85,apartment,Les Corts
2492,3,2,FALSE,FALSE,71,apartment,Eixample
