,desc_cpv,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
0," Administration, defence and social security services",78107.2,2564757.67,372267.11000000004,3894110.0,8647408.04,7194482.99,12790677.82,6515436.45,8668763.4,31949733.91,8912761.450000001
1, Agricultural machinery,,,,124248.76000000001,548894.81,370205.89,2218460.4,1015876.14,3099620.94,2940493.15,1771838.0
2," Agricultural, farming, fishing, forestry and related products",46363.64,400860.12,20181.54,874778.9199999999,4364708.01,4206678.7,6888867.92,5152680.3100000005,10087348.05,12861202.459999999,8134358.06
3," Agricultural, forestry, horticultural, aquacultural and apicultural services",,1039103.21,7029772.029999999,43221397.02,20550084.5,17342267.73,63643260.0,56621442.5,30164076.92,54776423.04,53337998.69
4," Architectural, construction, engineering and inspection services",7324460.819999999,998388.27,5147166.74,45032454.91,147181228.83,80482644.49,129272095.57,227163512.66,690875013.59,672879863.71,474677112.61
5, Business services,2682669.0,6270994.78,14119559.35,83261264.04,190401646.26,114077607.33,208612567.72,299283266.55,277373674.63,397978822.88,299240761.31
6, Chemical products,,14677.32,707373.64,8883588.29,11181388.35,42259027.5,4517675.55,21172843.06,26830603.21,48850055.07,19597886.96
7," Clothing, footwear, luggage articles and accessories",128072.81,9167.380000000001,188048.15000000002,3708694.33,5816596.0600000005,7496488.01,12359197.42,14593096.31,18154527.24,9609270.95,12082424.84
8, Collected and purified water,,,,78482.0,,41600.0,,123617.65,155481.43,411469.93,533753.78
9, Construction structures and materials; auxiliary products to construction (excepts electric apparatus),53634.55,1488392.78,740832.25,10204695.86,24700570.5,18669809.45,28638394.82,42493798.18,223806805.28,70466920.05,47079300.15
10, Construction work,10238126.65,16200456.43,53816677.8,590085713.18,832813486.7,635684594.28,1260191608.98,1619167810.76,1919115294.21,2156904684.19,2075870014.5
11, Education and training services,183500.0,131200.0,5824242.149999999,36982179.57,27378915.06,19069879.04,50843239.28,45296978.03,60565996.79,77900089.8,60110172.95
12," Electrical machinery, apparatus, equipment and consumables; Lighting",192023.32,41627.54,14167882.649999999,78663569.51,24407217.18,37420440.68,19545408.66,76192122.01,337643342.57,1155373280.06,55388029.31
13, Financial and insurance services,,570760.9199999999,89553541.02000001,81429664.16,59435873.05,47446021.129999995,60893365.18,246461386.95000002,213531150.74,132300572.64,158533268.21
14," Food, beverages, tobacco and related products",5303750.31,136070.48,3211214.93,7211429.77,28610359.18,3984852.8899999997,4191207.44,7866418.16,61706106.0,18970613.0,24594201.939999998
15," Furniture (incl. office furniture), furnishings, domestic appliances (excl. lighting) and cleaning products",644430.24,2899202.66,2485881.6,21984927.1,37977390.15,24456600.5,28365943.15,39803072.1,69429683.31,80393784.6,55756383.87
16, Health and social work services,214330.0,6923141.640000001,18554237.85,51459344.49,93741768.38,45125616.25,237599275.03,149170175.27,149408948.53,167846526.54,440725151.38
17," Hotel, restaurant and retail trade services",9394991.82,2647558.75,4817496.91,27393063.96,59509488.97,29501271.830000002,44390069.96,55307274.92,57807087.78,127223365.38,114087630.21
18, IT services,979700.0,6480959.74,5348544.2299999995,97417743.6,152029793.75,114130019.29,294080217.96999997,427641693.98,379418980.86,520383742.1,320386894.11
19, Industrial machinery,328320.0,224764.68,3435867.78,22375210.88,40736184.64,38003762.47,32286180.54,29964031.85,49508282.769999996,107292588.51,65949544.87
20, Installation services (except software),,209794.28999999998,460247.07,7113157.26,2158645.61,1615604.75,4379712.72,14477834.92,4983917.83,72786133.31,724339617.33
21," Laboratory, optical and precision equipments (excl. glasses)",,69500.0,238549.0,8609427.65,15175675.48,17345319.32,30275400.84,47156372.76,40908769.83,69506790.92,40772786.95
22," Leather and textile fabrics, plastic and rubber materials",,24793.38,1494068.75,1740547.0,753841.06,770779.31,3167189.8,1206181.75,1509859.98,1997031.4000000001,2538299.61
23," Machinery for mining, quarrying, construction equipment",,56000.0,82000.0,2164256.87,4378329.16,3717862.0100000002,4462819.93,3829057.4,3713805.08,6887799.04,3484817.79
