,new_cpv,mean,std,var,median,desc_cpv
1,09,423385.0384067797,5463463.193608459,29849430067914.348,4432.23," Petroleum products, fuel, electricity and other sources of energy"
12,33,15523.130609649836,253162.10007795657,64091048915.881294,264.49," Medical equipments, pharmaceuticals and personal care products"
13,34,116303.69171695228,2297188.6427197573,5277075660240.64,1420.0, Transport equipment and auxiliary products to transportation
22,45,245464.46168635495,3083728.022392231,9509378516087.1,29750.8, Construction work
24,50,58583.5087564273,795132.8493734294,632236248152.7087,1135.03, Repair and maintenance services
33,71,41274.15523503783,437822.6217994055,191688648159.30524,7879.07," Architectural, construction, engineering and inspection services"
34,72,149229.83564419765,1474577.9316501073,2174380076509.5083,12500.0, IT services
39,79,25515.962518051263,292649.63294086704,85643807660.42422,1148.0, Business services
42,90,511827.10971900047,9973658.496271772,99473863800254.12,12600.0," Sewage-, refuse-, cleaning-, and environmental services"
45,na,84316.94390178409,2948770.420270101,8695246991459.909,800.0,Not Specified
