desc_cpv,offer_bucket,n,diff_pct_mean,diff_pct_median,diff_pct_p25,diff_pct_p75,budget_sum,awarded_sum
" Architectural, construction, engineering and inspection services",0,126,0.1321507809140899,-0.11517241379310345,-0.24913461207932694,0.0,627832258.64,18351391.71
" Architectural, construction, engineering and inspection services",1,4666,,0.0,-0.1005001528759198,0.0,529420973.69,221934795.56
" Architectural, construction, engineering and inspection services",10+,1380,,-0.21100936400283388,-0.3016316711241253,-0.09983910897047608,458353987.03,1275576717.41
" Architectural, construction, engineering and inspection services",2,1488,,-0.13023737571619676,-0.21938668280372942,-0.05,175281997.69,141812362.99
" Architectural, construction, engineering and inspection services",3-4,2511,,-0.19802369331811678,-0.28239896493935845,-0.10034816758607461,291574265.28,193620477.93
" Architectural, construction, engineering and inspection services",5-9,3056,,-0.21250000000000002,-0.31587273678749817,-0.09748282890620086,399315489.19,404756958.64
 Business services,0,127,,-0.01396635712078171,-0.1728244529985996,0.0,11687971.94,10174493.16
 Business services,1,8451,,0.0,-0.16000000000000003,0.0,384298231.37,347299853.77
 Business services,10+,498,,-0.1776647282129749,-0.3771684476289648,0.0,63397163.51,380866233.19
 Business services,2,1995,,-0.07769466167970078,-0.2,0.0,319313254.48,274586951.85
 Business services,3-4,2748,,-0.13632189041680293,-0.282836831962029,-0.0002942315571643541,451723630.29,417363835.3
 Business services,5-9,1725,,-0.2,-0.3701441102756892,-0.009345794392523364,295860538.71,336011972.36
 Construction work,0,182,-0.12223921171953289,-0.07687831935688748,-0.1831884154276915,-0.020191698737825982,64778983.61,46463827.82
 Construction work,1,5926,,0.0,-0.05094695558852291,0.0,1260979624.45,1175543354.34
 Construction work,10+,1535,,-0.1859663650449383,-0.2710180079460025,-0.09800000389412507,2122847280.09,2788285326.93
 Construction work,2,2858,,-0.05281209991030725,-0.11510765987382576,-0.01444364241423065,784955491.38,739537766.79
 Construction work,3-4,3821,,-0.10004899346722701,-0.1656202852721324,-0.04370000928171738,1915409570.92,1796386172.71
