desc_cpv,offer_bucket,diff_abs,diff_pct
 Construction work,0,-10411.700000000012,-0.041000014924561505
 Construction work,0,0.0,0.0
 Transport equipment and auxiliary products to transportation,0,-4883.130000000005,-0.050194254714824506
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
 Construction work,0,-28343.649999999965,-0.08590215071406883
 Construction work,0,-98473.57,-0.19442298526687718
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Architectural, construction, engineering and inspection services",0,-13500.0,-0.15
 Transport equipment and auxiliary products to transportation,0,5936.580000000002,0.21000006367304325
" Medical equipments, pharmaceuticals and personal care products",0,-4378.639999999999,-0.1633820895522388
 Construction work,0,-5808.670000000013,-0.04938360085649591
 Construction work,0,-68789.85000000003,-0.23085365296247407
 Construction work,0,-39236.45999999999,-0.13059832309804772
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
" Medical equipments, pharmaceuticals and personal care products",0,0.0,0.0
