supplier_id,supplier_name,amount_awarded,share,cum_share,rank
A28541639,FCC MEDIO AMBIENTE SA,965790530.3199999,0.016651597699260896,0.016651597699260896,1
B62735675,"VIATRIS PHARMACEUTICALS, S.L.",674238134.01,0.011624821126911374,0.02827641882617227,2
A79524054,URBASER SA,616144870.49,0.010623210919725274,0.03889962974589754,3
B08173411,CORP.CLD SERV.URBANOS TRATAMIENTO DE RESIDUOS SL,517039418.69,0.008914492454003414,0.04781412219990096,4
U19942226,"GRUPMAS CONTRUCTORS, SLU i EXCAVACIONS VILA VILÀ, SA (UTE ARE ESTRELLA)",514198497.0,0.008865510937212905,0.05667963313711386,5
A81608077,"T-SYSTEMS ITC IBERIA, S.A.U.",497221540.89,0.008572804149947075,0.06525243728706094,6
A28541639,FCC MEDIO AMBIENTE SAU,442185574.84,0.007623906084699807,0.07287634337176074,7
A19362094,"APPLUS IDIADA, SA",428000000.0,0.007379326667162785,0.08025567003892353,8
A28760692,VALORIZA SERVICIOS MEDIOAMBIENTALES S.A.,391291567.75,0.0067464212629287585,0.0870020913018523,9
A61797536,"GAS NATURAL COMERCIALIZADORA, S.A.",352811425.44,0.006082969065955857,0.09308506036780816,10
***,"Copcisa, SA & Copisa Constructora Pirenaica, SA & Ferrovial Construcción, SA & Sacyr Construcción, SA (UTE)",300465134.17,0.005180444806386274,0.09826550517419443,11
A81948077,"ENDESA ENERGÍA, S.A.U.",271902572.09,0.004687985750219365,0.10295349092441379,12
A46598363,ALSTOM TRANSPORTE SAU,269786202.41,0.00465149653709507,0.10760498746150886,13
A62332580,NEXUS ENERGIA S.A.,258000000.0,0.004448285701233641,0.1120532731627425,14
A95758389,"IBERDROLA CLIENTES, S.A.",258000000.0,0.004448285701233641,0.11650155886397613,15
A79524054,"URBASER, SA",253572504.17000002,0.004371949397385345,0.12087350826136148,16
B82387770,"everis Spain, S.L.U.",228243549.0,0.003935242307812093,0.12480875056917357,17
A81948077,"ENDESA ENERGIA, SAU",224992825.54999998,0.0038791952278070542,0.12868794579698062,18
B31737422,"ACCIONA GREEN ENERGY DEVELOPMENTS, S.L.U.",194712109.0,0.003357112753185063,0.13204505855016568,19
A46598363,"ALSTOM TRANSPORTE, SA",190491021.35,0.0032843352189325476,0.13532939376909822,20
B88018098,"INDRA SOLUCIONES TECNOLOGÍAS DE LA INFORMACIÓN, S.L.U.",187815373.91,0.0032382032644794685,0.13856759703357768,21
A82206400,GRUPO CORPORATIVO GFI INFORMÁTICA S.A.,186454504.14,0.0032147399406843827,0.14178233697426207,22
A79329108,SOPRA STERIA ESPAÑA SA,179900000.0,0.0031017309986508994,0.14488406797291298,23
B83347138,"DXD APLICATIONS & IT SOLUTIONS, S.L.U.",178800000.0,0.003082765439459593,0.14796683341237257,24
A81948077,ENDESA ENERGIA SAU,174002313.23,0.0030000465190797914,0.15096687993145236,25
***,"UTE IBM Global Services España, S.A.Viewnext, S.A.",173300000.0,0.0029879376435030624,0.1539548175749554,26
B80428972,ALTRAN INNOVACION S.L.,156200000.0,0.0026931094051654836,0.1566479269801209,27
***,"U.T.E DXC TECHNOLOGY SERVICIOS ESPAÑA, S.L.U., ES FIELD DELIVERY SPAIN, S.L.U. i DXC TECHNOLOGY SPAIN, S.A.U",156200000.0,0.0026931094051654836,0.15934103638528638,28
*,"UTE FCC AREMA GIRONA, constituïda per les empreses FCC MEDIO AMBIENTE SAU, amb NIF A28541639 i AGUA, RESIDUOS Y MEDIO AMBIENTE SA, amb NIF A60833027",152796134.12,0.002634421932596022,0.1619754583178824,29
B80754799,"GILEAD SCIENCES, S.L.",152779819.05,0.002634140637663481,0.1646095989555459,30
A28760692,VALORIZA SERVICIOS MEDIOAMBIENTALES,152338516.26999998,0.002626531952213137,0.16723613090775902,31
A28855260,"INFORMÁTICA EL CORTE INGLÉS, S.A",146400000.0,0.002524143514188392,0.1697602744219474,32
B60579240,"Multiserveis Ndavant, S.L.",144584116.49,0.0024928351085580086,0.17225310953050543,33
A80949175,ACCENTURE OUTSOURCING SERVICES SAU,143872970.77,0.002480573948334096,0.17473368347883952,34
B95087482,"OESÍA NETWORKS, S.L.",143858803.0,0.0024803296758972374,0.17721401315473675,35
B82422015,"VASS Consultoría de Sistemas, S.L.",142200000.0,0.0024517295609124954,0.17966574271564925,36
B66000662,AKTIOS GLOBALT IT SERVICES S.L,142200000.0,0.0024517295609124954,0.18211747227656175,37
B86867710,"GLOBAL ROSETTA, SLU",142200000.0,0.0024517295609124954,0.18456920183747424,38
A33845009,Izertis S.A,142200000.0,0.0024517295609124954,0.18702093139838674,39
A28240752,"Atos Spain, SA (Societat Unipersonal)",142200000.0,0.0024517295609124954,0.18947266095929924,40
***,"UTE NexTReT, S.L.Omitsis Consulting, S.L.",142200000.0,0.0024517295609124954,0.19192439052021174,41
***,"UTE IBERMATICA, SA Altia Consultores, S.A.",142200000.0,0.0024517295609124954,0.19437612008112423,42
***,"UTE FUJITSU TECHNOLOGY SOLUTIONS,S.A SII Concatel, S.L.",142200000.0,0.0024517295609124954,0.19682784964203673,43
B63446470,Opentrens Solucions i Sistemes S.L,142200000.0,0.0024517295609124954,0.19927957920294923,44
B65866790,"Itteria Global services, S.L.",142200000.0,0.0024517295609124954,0.20173130876386172,45
***,"UTE BETTER CONSULTANTS, SRLTecnologías Plexus, S.L.",142200000.0,0.0024517295609124954,0.20418303832477422,46
***,"UTE Abast Systems & Solutions, S.L.Carver Advanced Systems, S.L.Davinci Tecnolgías de la Información, S.L.Fihos Consultoría Tecnológica, S.L.",142200000.0,0.0024517295609124954,0.20663476788568672,47
***,"UTE ABT -Axpe Consulting Catalunya, S.L.Base Technology & Information Services, S.L.Tecsidel, S.A.",142200000.0,0.0024517295609124954,0.2090864974465992,48
A81948077,ENDESA ENERGIA S.A.U,137880185.1,0.002377249828929371,0.21146374727552858,49
B08377715,"CAPGEMINI ESPAÑA, S.L.",133482508.25,0.0023014276465630873,0.21376517492209166,50
A80599459,"IBM GLOBAL SERVICES ESPAÑA, S.A.",130194297.75999999,0.00224473423685257,0.21600990915894422,51
A81948077,"ENDESA ENERGÍA, S.A.U",127294448.82000001,0.002194736730745828,0.21820464588969005,52
B88428404,"EY TRANSFORMA SERVICIOS DE CONSULTORIA, S.L.",123107221.08,0.0021225429893363284,0.2203271888790264,53
B79217790,"ACCENTURE, S.L.",120525220.13,0.002078025633109752,0.22240521451213613,54
A78053147,"UTE AETICAT: Electrònica Saltó, SL, Telefónica Soluciones de Informática y Comunicaciones de España, SA, Servicios Microinformática, SA",117249810.0,0.002021552919749462,0.22442676743188558,55
A81948077,ENDESA ENERGÍA SAU,116825871.44,0.0020142436180647736,0.22644101104995035,56
A28760692,"UTE VALORIZA SERVICIOS MEDIOAMBIENTALES, S.A. - ACCIONA SERVICIOS URBANOS, S.L.",116023544.72,0.0020004103681566586,0.228441421418107,57
B15387855,"CRC Obras y Servicios, SL",115983512.73,0.001999720159905849,0.23044114157801285,58
B64143639,UTE HERCAL,115665617.0,0.001994239186920414,0.23243538076493325,59
U21991120,"UTE_FCC_CONSTRUCCION,SA_FCC_INDUSTRIAL_E_INFRAESTRUCTURAS_ENERGÉTICAS_SAU_ COMSA,.SAU_COMSA_INSTALACIONES_Y_SISTEMAS_INDUSTRIALES,SAU_UTE_abreujada...",114064000.0,0.0019666250396337755,0.23440200580456702,60
A08000234,"SOCIEDAD GENERAL DE AGUAS DE BARCELONA, SAU (AGBAR)",112234556.09,0.0019350828334862486,0.23633708863805328,61
A28228526,"GLAXOSMITHKLINE, S.A. Societat Unipersonal",110564852.75,0.001906294781189256,0.23824338341924253,62
A28760692,UTE VALORIZA SERVICIOS MEDIOAMBIENTALES-ROMEROPOLO,106424359.2,0.0018349068034585773,0.2400782902227011,63
B82387770,"NTT DATA SPAIN, S.L.U.",106404641.98,0.00183456685063767,0.2419128570733388,64
A08163586,"SANOFI-AVENTIS,S.A.",106012661.56,0.00182780855258554,0.24374066562592434,65
A62422720,"ESTABANELL Y PAHISA MERCATOR, SAU",106000000.0,0.0018275902493440543,0.2455682558752684,66
B61588737,UTE SIRT CONNECTA,105108263.35,0.001812215445508934,0.24738047132077734,67
A64381072,"Comsa,SAU & Comsa Instalaciones y Sistemas Industrial,SAU & Fcc Construcción,SA & FCC IndustrialeInfraestruct(UTE)",104974125.45,0.0018099027179796182,0.24919037403875696,68
B82498650,"KPMG ASESORES, S.L.",104553220.06,0.0018026457124450865,0.25099301975120203,69
A28541639,"FCC MEDIO AMBIENTE, SAU",103663461.11,0.0017873050069612507,0.25278032475816326,70
A79329108,"SOPRA STERIA ESPAÑA, S.A.",103338296.45,0.0017816987073192953,0.25456202346548257,71
B60579240,"MULTISERVEIS NDAVANT, SL",102042453.94999999,0.0017593565458316948,0.25632138001131427,72
U55418438,CADAGUA-FERROVIAL-CONST. RUBAU-AREMA,101830262.62,0.0017556980665326069,0.25807707807784686,73
A28541639,"FCC MEDIO AMBIENTE, S.A.U.",101328447.89,0.001747046069291803,0.2598241241471387,74
A97516058,"STALER RAIL VALENCIA, SA",99500000.0,0.0017155210359408811,0.26153964518307954,75
A81608077,"UTE Indra Soluciones Tecnologías de la Información, SLU - T-Systems ITC Iberia, SAU",96833360.0,0.0016695443825209676,0.2632091895656005,76
A60088309,"GBI PRAPEC SA,",96283916.88,0.0016600712043258622,0.2648692607699264,77
A66098435,"AIGÜES DE BARCELONA, EMPRESA METROPOLITANA DE GESTIÓ DEL CICLE INTEGRAL DE L’AIGUA SA",95573081.0,0.0016478153861827311,0.26651707615610915,78
A79252219,"SECURITAS SEGURIDAD ESPAÑA, S.A.",94194875.4,0.0016240531681058314,0.26814112932421497,79
A78053147,"TELEFÓNICA DE SOLUCIONES INFORMÁTICA Y COMUNICACIONES DE ESPAÑA, SAU",94115113.73,0.00162267796385712,0.2697638072880721,80
A61797536,"Gas Natural Comercializadora, SA",94000963.35,0.0016207098495038472,0.27138451713757594,81
A08800880,"Total Electricidad y Gas España, SA",93600000.0,0.001613796673005693,0.27299831381058165,82
U75487462,"Comsa, SAU & Comsa Instalaciones y Sistemas Industriales, SAU & Sacyr Construcción, SA & VOPI-4, SA (UTE)",90939397.47,0.0015679241141263712,0.274566237924708,83
A28541639,"FCC MEDIOAMBIENTE, S.A.U.",87753370.64,0.0015129924955541397,0.27607923042026217,84
U75487462,"Comsa, SAU & Comsa Instalaciones y Sistemas Industriales, SAU & Sacyr Construcción, SA & VOPI-4, SA",86597699.99,0.0014930670954466576,0.27757229751570883,85
B88018098,"UTE Indra Soluciones Tecnologías de la Información, S.L.U. - TSystems ITC Iberia, S.A.U",85977975.0,0.0014823821581919515,0.2790546796739008,86
A28760692,"VALORIZA SERVICIOS MEDIOAMBIENTALES, S.A.",83942256.00999999,0.001447283477281305,0.2805019631511821,87
A82741067,PREZERO ESPAÑA SAU,83064249.49,0.0014321454003491116,0.2819341085515312,88
A28512598,"Siemens Rail Automation, SAU",81362945.47,0.0014028125075366414,0.2833369210590679,89
B61172219,SEIDOR SOLUTIONS SL,80581596.06,0.001389340936187144,0.284726261995255,90
B78016375,"PRICEWATERHOUSECOOPERS ASESORES DE NEGOCIOS, S.L.",80526008.9,0.0013883825347569107,0.28611464453001195,91
B88018098,"Indra Soluciones Tecnologías de la Información, S.L.U.",80046107.92,0.001380108361627678,0.2874947528916396,92
A28211092,"MERCK SHARP & DOHME DE ESPAÑA, SA",79511343.13,0.001370888258647522,0.2888656411502871,93
B64750300,Jornet Llop Pastor,79218229.2,0.0013658345590209665,0.2902314757093081,94
A08436107,"Copisa Constructora Pirenaica, SA",78491738.33,0.0013533088266601222,0.2915847845359682,95
A61172219,"Saytel Servicios Informáticos, SA",74681855.59,0.0012876210479170261,0.2928724055838852,96
U13887609,"FCC CONSTRUCCIÓN, S.A. Y COMSA, S.A.U., UTE, LEY 18/1982 DE 26 DE MAYO (abreujadament UTE FIRA P.ZERO)",74533908.83,0.0012850702360679878,0.2941574758199532,97
A87803862,TotalEnergies Electricidad y Gas España SA,73245000.0,0.001262847620879295,0.2954203234408325,98
A79524054,"URBASER, S.A.",72862936.3,0.0012562603011363862,0.2966765837419689,99
A25009192,RED ESPAÑOLA DE SERVICIOS S.A.U.,70003153.18,0.001206953586557606,0.2978835373285265,100
B87222014,"PROSEGUR SOLUCIONES INTEGRALES DE SEGURIDAD ESPAÑA, S.L.",69914164.31,0.001205419292301831,0.29908895662082835,101
B60579240,"MULTISERVEIS NDAVANT, S.L.",69014590.0,0.001189909356098846,0.3002788659769272,102
A82673542,"INETUM CATALUÑA, SA",68988044.11,0.0011894516673278633,0.3014683176442551,103
A81948077,"Endesa Energía, SA",68636593.0,0.0011833921520282677,0.30265170979628336,104
A28541639,FCC MEDIO AMBIENTE S.A.U,65630075.25,0.0011315555244397787,0.30378326532072314,105
A28925899,JANSSEN CILAG S.A.,65630025.422000006,0.0011315546653344302,0.3049148199860576,106
B81690471,"DELOITTE CONSULTING, S.L.U.",64955958.62,0.001119932798214225,0.3060347527842718,107
A25012386,"ROMÀ INFRAESTRUCTURES I SERVEIS, SAU",64516525.53,0.0011123563488696674,0.30714710913314147,108
A82741067,"Prezero España, S.A.U",64109337.08,0.0011053358428237661,0.3082524449759652,109
A60744216,"SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA",63543521.93,0.0010955803876249819,0.3093480253635902,110
A97516058,"Stadler Rail Valencia, SAU",62922480.0,0.0010848727444579837,0.3104328981080482,111
B60805769,"SIEMENS HEALTHCARE, S.L.U.",62826269.17,0.0010832139333750658,0.31151611204142327,112
A28161396,"TÜV SÜD ATISAE, SAU",62154345.04,0.001071629008957264,0.3125877410503805,113
A60088309,"GBI PAPREC, SA",62016036.330000006,0.0010692443707516475,0.31365698542113213,114
A78053147,"TELEFÓNICA SOLUCIONES DE INFORMÁTICA Y COMUNICACIONES DE ESPAÑA, S.A.U",61725993.809999995,0.0010642436265870512,0.31472122904771915,115
U56842875,UTE Ricoh Sistemes d'organització,61716029.01,0.001064071819310479,0.3157853008670296,116
A97516058,"STADLER RAIL VALENCIA, SAU",61691226.58,0.001063644190261158,0.3168489450572908,117
A28925899,"JANSSEN-CILAG, S.A.",60859184.044285715,0.0010492985975695454,0.3178982436548603,118
A25031576,"M. y J. Gruas, SA",60507056.71,0.0010432274232047521,0.31894147107806503,119
A08023145,"ROCHE FARMA,S.A.",60229899.49,0.0010384488398763813,0.3199799199179414,120
A81638108,UTE ASAV MAR FASE 2,60102493.9,0.0010362521869141557,0.32101617210485556,121
A62332580,"NEXUS ENERGIA, S.A.",59154995.58,0.0010199159728490437,0.3220360880777046,122
B60452430,"DOPEC, SL",58861184.059999995,0.0010148502457820912,0.3230509383234867,123
A58142639,"CONSTRAULA ENGINYERIA I OBRES, SAU",58675360.59,0.0010116463857644377,0.32406258470925114,124
A04975934,"UTE Kyndryl España, SA – Seidor Solutions, SL",58382466.64,0.0010065964789048919,0.32506918118815603,125
A08153900,"CONSTRUCTORA DE CALAF, SAU",58318606.9,0.0010054954464695177,0.3260746766346255,126
A08436107,"COPISA CONSTRUCTORA PIRENAICA, SA",58206715.93,0.001003566287547238,0.32707824292217275,127
U06818744,UTE NOU EDIFICI VHIR,57101706.93,0.0009845143660959417,0.32806275728826867,128
A60088309,"GBI PAPREC, S.A.",56284198.72,0.0009704193657812746,0.32903317665404996,129
A08436107,COPISA CONSTRUCTORA PIRENAICA SA,54777102.87,0.0009444348970993226,0.3299776115511493,130
B54836093,"CONSULTORIA IPYDO, SL",54468096.699999996,0.0009391071927287646,0.33091671874387807,131
U05446612,UTE INGESAN ¿ ADELTE II,53864586.35,0.0009287018188510457,0.3318454205627291,132
B02796910,DS GREEN TRANSITION S.L.,53535876.73,0.0009230343990738986,0.33276845496180296,133
A08112716,"ACSA OBRAS E INFRAESTRUCTURAS, SAU",53435666.13,0.0009213066262867202,0.33368976158808966,134
B65260051,ALOTARK ARQUITECTOS Y CONSULTORES SL,53399226.73,0.0009206783593798149,0.3346104399474695,135
B86418787,ABBVIE SPAIN SL,52825108.019999996,0.0009107797390367773,0.3355212196865063,136
A28389484,"MEDTRONIC IBERICA, S.A.",51802256.78,0.000893144333822122,0.3364143640203284,137
B28089225,PFIZER SLU,51780189.28,0.0008927638588426182,0.33730712787917105,138
B15044357,"APPLUS NORCONTROL, S.L.U.",51216813.11,0.0008830504551161578,0.3381901783342872,139
A28925899,"JANSSEN-CILAG,S.A.",50946390.58,0.0008783879873894507,0.33906856632167665,140
A28343358,"CARAT ESPAÑA, SAU",50759918.97,0.0008751729525194933,0.33994373927419613,141
A82741067,PREZERO ESPAÑA S.A.U.,50480272.16,0.0008703514451306615,0.3408140907193268,142
U72417314,UTE INETUM CAT-ESP,49998750.0,0.0008620493205602928,0.34167614003988706,143
U72413347,"DXC TECHNOLOGY SPAIN, S.A.U. i NAE COMUNICACIONS, S.L.",49998750.0,0.0008620493205602928,0.34253818936044733,144
A95113361,"ACCIONA AGUA, S.A.",48679571.05,0.0008393048055965199,0.34337749416604385,145
B15387855,"CRC OBRAS Y SERVICIOS, S.L.",47989221.76,0.0008274022053036369,0.3442048963713475,146
B66113457,"BAC ENGINEERING CONSULTANCY GROUP, SL",47519822.4,0.0008193090949886903,0.34502420546633616,147
U44909547,"UTE IBM GLOBAL SERVICES ESPAÑA, S.A. – VIEWNEXT S.A., LEY 18/1982",47332153.67,0.0008160734200730792,0.3458402788864092,148
U10620037,"UTE FCC-AREMA GRANOLLERS (FCCMEDIOAMBIENTE, SAU-AGUAS, RESIDUOS Y MEDIO AMBIENTE, SA)",47093527.8,0.000811959171834841,0.3466522380582441,149
A28389484,"MEDTRONIC IBERICA,S.A.",46971700.71,0.0008098587001198414,0.3474620967583639,150
B60579240,"MULTISERVEIS NDAVANT, S.L",46930506.41,0.0008091484519971192,0.34827124521036107,151
*****538E,Josep Maria Fortià Rius,46412350.67,0.0008002147125814055,0.3490714599229425,152
A25036880,UTE ROMERO POLO - SORIGUE ACSA - RUBAU - ACISA,46116273.6,0.0007951099242211569,0.34986656984716363,153
B60124831,"OPTIMA FACILITY SERVICES, SL",45946577.4,0.000792184121197848,0.3506587539683615,154
U13941174,Empresa UTE ACISA  - ELECNOR - ROMERO POLO CCVC,45858862.04,0.0007906717840596055,0.3514494257524211,155
A28541639,"FCC Medioambiente, SAU",45770197.1,0.000789143074816184,0.3522385688272373,156
B64316961,ESTUDI CUYAS 38 SL,45174966.51,0.000778880455736983,0.3530174492829743,157
B17794983,Reverendo-Ginesta Arquitectes Associats SLP,44896188.43,0.0007740739264847297,0.353791523209459,158
U13887609,"Empresa FCC CONSTRUCCION, S.A. - COMSA, S.A.U.",44704000.0,0.0007707603255346849,0.3545622835349937,159
*****3147,"UTE TELEFÓNICA DE ESPAÑA, S.A.U. -  TELEFÓNICA SOLUCIONES DE INFORMATICA Y COMUNICACIONES DE ESPAÑA, S.A.U.",44698180.48,0.0007706599887610258,0.3553329435237547,160
A64381072,"Comsa Instalaciones y Sistemas Industriales, SAU",44424979.17,0.0007659496109283464,0.35609889313468307,161
B80428972,ALTRAN INNOVACIÓN S.L.,44355164.0,0.0007647458984382681,0.35686363903312135,162
A08798852,"PASQUINA, SA",44349565.38,0.000764649370293723,0.3576282884034151,163
A80241789,"SERVEO SERVICIOS, S.A.U.",43378075.6,0.0007478995094515966,0.3583761879128667,164
B67417634,"UTE IBM - Viewnext (IBM Global Services España, S.A. - VIEWNEXT S.A.)",42797918.33,0.0007378967757748223,0.35911408468864153,165
B62076740,"SEIDOR CONSULTING, SL",42597678.29,0.00073444435365565,0.3598485290422972,166
A61895371,"ISS FACILITY SERVICES, S.A.",42364215.1,0.0007304191173384354,0.36057894815963565,167
F65387177,"CELOBERT ARQUITECTURA, ENGINYERIA I URBANISME, SCCL",42342644.5,0.0007300472096192608,0.3613089953692549,168
J66027574,TerritorisXLM SCP,42287236.0,0.0007290918885406685,0.36203808725779557,169
A59202861,"PREZERO GESTIÓN DE RESIDUOS, S.A.",41870136.34,0.0007219004991857561,0.3627599877569813,170
A28042463,"BRISTOL-MYERS SQUIBB, SAU",41708878.690000005,0.0007191201887256417,0.363479107945707,171
B66976028,"OFICINA TÈCNICA ARENI, S.L.",41364543.69,0.000713183365249152,0.36419229131095615,172
B88018098,"Indra Soluciones Tecnologias de la Información, S.L.U.",41362934.74,0.0007131556246705514,0.3649054469356267,173
A08190696,"Copcisa, SA",41182296.22,0.0007100411605402878,0.365615488096167,174
B63442701,"NAE COMUNICACIONS, S.L.",41083240.0,0.0007083332909005813,0.3663238213870676,175
A28541639,"FCC Medio Ambiente, SA",41069923.43,0.0007081036943582539,0.36703192508142585,176
A08175994,"ACCIONA FACILITY SERVICES, S.A.",41026313.03,0.0007073517892468389,0.3677392768706727,177
