supplier_name,desc_cpv,amount_awarded
FCC MEDIO AMBIENTE SA," Sewage-, refuse-, cleaning-, and environmental services",950134232.7099999
"VIATRIS PHARMACEUTICALS, S.L."," Medical equipments, pharmaceuticals and personal care products",674238134.01
URBASER SA," Sewage-, refuse-, cleaning-, and environmental services",615800051.29
CORP.CLD SERV.URBANOS TRATAMIENTO DE RESIDUOS SL," Sewage-, refuse-, cleaning-, and environmental services",517039418.69
"GRUPMAS CONTRUCTORS, SLU i EXCAVACIONS VILA VILÀ, SA (UTE ARE ESTRELLA)", Construction work,514198497.0
"T-SYSTEMS ITC IBERIA, S.A.U.", IT services,496998774.58
FCC MEDIO AMBIENTE SAU," Sewage-, refuse-, cleaning-, and environmental services",441784095.21999997
"APPLUS IDIADA, SA",Not Specified,428000000.0
VALORIZA SERVICIOS MEDIOAMBIENTALES S.A.," Sewage-, refuse-, cleaning-, and environmental services",391291567.75
"GAS NATURAL COMERCIALIZADORA, S.A."," Petroleum products, fuel, electricity and other sources of energy",352817896.51
"Copcisa, SA & Copisa Constructora Pirenaica, SA & Ferrovial Construcción, SA & Sacyr Construcción, SA (UTE)", Construction work,300465134.17
"ENDESA ENERGÍA, S.A.U."," Petroleum products, fuel, electricity and other sources of energy",271168649.38
ALSTOM TRANSPORTE SAU, Transport equipment and auxiliary products to transportation,269119402.41
NEXUS ENERGIA S.A.," Petroleum products, fuel, electricity and other sources of energy",258000000.0
"IBERDROLA CLIENTES, S.A."," Petroleum products, fuel, electricity and other sources of energy",258000000.0
"URBASER, SA"," Sewage-, refuse-, cleaning-, and environmental services",253471542.86
"everis Spain, S.L.U.", IT services,242243549.0
"ENDESA ENERGIA, SAU"," Petroleum products, fuel, electricity and other sources of energy",206332023.84
"ACCIONA GREEN ENERGY DEVELOPMENTS, S.L.U."," Petroleum products, fuel, electricity and other sources of energy",194712109.0
"ALSTOM TRANSPORTE, SA", Transport equipment and auxiliary products to transportation,190457810.97
"INDRA SOLUCIONES TECNOLOGÍAS DE LA INFORMACIÓN, S.L.U.", IT services,187671631.05
GRUPO CORPORATIVO GFI INFORMÁTICA S.A., IT services,186454504.14
SOPRA STERIA ESPAÑA SA, IT services,179900000.0
"DXD APLICATIONS & IT SOLUTIONS, S.L.U.", IT services,178800000.0
ENDESA ENERGIA SAU," Petroleum products, fuel, electricity and other sources of energy",174053443.78
"UTE IBM Global Services España, S.A.Viewnext, S.A.", IT services,173300000.0
"U.T.E DXC TECHNOLOGY SERVICIOS ESPAÑA, S.L.U., ES FIELD DELIVERY SPAIN, S.L.U. i DXC TECHNOLOGY SPAIN, S.A.U", IT services,156200000.0
ALTRAN INNOVACION S.L., IT services,156200000.0
"UTE FCC AREMA GIRONA, constituïda per les empreses FCC MEDIO AMBIENTE SAU, amb NIF A28541639 i AGUA, RESIDUOS Y MEDIO AMBIENTE SA, amb NIF A60833027"," Sewage-, refuse-, cleaning-, and environmental services",152796134.12
"GILEAD SCIENCES, S.L."," Medical equipments, pharmaceuticals and personal care products",152779819.05
