,period,DZ,EG,IL,JO,LB,LY,MA,PS,TN
0,2005-01-01,2611,1060,17026,2077,0,0,0,1182,2586
1,2006-01-01,2927,1189,17883,2413,0,9034,0,1154,2697
2,2007-01-01,3048,1309,18680,2662,4821,9193,0,1150,2791
3,2008-01-01,3550,1489,20501,3424,0,10712,0,1264,2937
4,2009-01-01,3057,1751,20507,3597,6727,7774,0,1413,2969
5,2010-01-01,3706,2056,23755,3854,0,9885,0,1777,3163
6,2011-01-01,4243,2060,24826,4017,0,5948,0,1938,3108
7,2012-01-01,4598,2605,25953,4052,9027,12083,0,2209,3237
8,2013-01-01,4515,2407,27890,4040,0,9349,0,2308,3180
9,2014-01-01,4605,2608,28916,3982,0,6991,2661,2297,3288
10,2015-01-01,4239,3217,32657,3841,0,6982,2920,2680,3740
11,2016-01-01,3998,2680,34056,3874,0,7043,2924,2783,3596
12,2017-01-01,4030,1834,36469,3938,0,9121,3016,2881,3315
13,2018-01-01,3869,2310,35852,4003,9609,9787,3061,2582,3167
14,2019-01-01,3977,3034,39548,4012,0,9132,3236,2877,3242
15,2020-01-01,3261,3411,39328,3848,0,0,2962,2439,3191
16,2021-01-01,3504,3542,44472,3984,0,0,3306,2459,3373
17,2022-01-01,4694,3753,52492,3991,0,0,3396,2806,0
18,2023-01-01,4943,2922,48392,4094,0,0,3607,2524,0
