period,BE,DE,DK,ES,EU27_2020,FI,FR,IT,PL,PT,UK
1975-01-01,0,0,40620783,0,0,0,70441918,0,0,0,9709447
1976-01-01,0,0,44414819,0,0,0,75767428,0,0,0,10006947
1977-01-01,0,0,45778215,0,0,0,78906873,0,0,0,10281999
1978-01-01,0,0,47448952,0,0,0,83023932,0,0,0,10733817
1979-01-01,0,0,49867508,0,0,0,87636035,0,0,0,11189045
1980-01-01,0,0,49708588,0,0,8100898,91156700,0,0,0,11095807
1981-01-01,0,0,50265473,0,0,8396652,94183912,0,0,0,11132405
1982-01-01,0,0,53033133,0,0,8886043,98809827,0,0,0,11418940
1983-01-01,0,0,55149853,0,0,9293274,101145381,0,0,0,11917296
1984-01-01,0,0,58167683,0,0,9749793,104335215,0,0,0,12212538
1985-01-01,0,0,61866184,0,0,10280349,108127660,0,0,0,12785654
1986-01-01,0,0,65751144,0,0,10676186,112790736,0,0,0,13133455
1987-01-01,0,0,66022145,0,0,11200076,117114729,0,0,0,13864071
1988-01-01,0,0,66881778,0,0,12032116,123456941,0,0,0,14768069
1989-01-01,0,0,68364248,0,0,12996852,129926770,0,0,0,15246799
1990-01-01,0,0,69997879,0,0,13209414,135160252,0,0,0,15434121
1991-01-01,0,181002722,71771434,0,0,12453468,138007586,0,0,0,15400329
1992-01-01,0,214744974,73407725,0,0,11936809,140917847,0,0,0,15476980
1993-01-01,0,214793900,73436113,0,0,11602121,141367257,0,0,0,15857794
1994-01-01,0,223456958,78507560,0,0,12162985,146189665,0,0,0,16479587
1995-01-01,30383977,246227563,82634829,67852698,798445972,13950601,161346749,127866521,41008238,13312857,98516955
1996-01-01,35728407,249993301,85503028,74547535,937214670,14600753,165052147,147475850,49869184,15646635,120746193
1997-01-01,37265892,255446361,89369218,78446652,973677003,15591975,170003357,154081004,55545841,16567910,130135021
1998-01-01,38367037,262602646,92785349,83304433,1015266498,16575387,177695179,159811562,60698357,17772268,137728498
1999-01-01,39761229,271798253,95396278,88649559,1057449897,17306894,184790284,164183009,64485235,18841508,144473468
2000-01-01,42631134,282560920,100908570,94834075,1119064072,18486553,195840578,172942466,69596856,19859186,153938003
2001-01-01,43266194,287626835,103113008,99652034,1152589155,19010575,201254333,177870577,71006957,20405316,161070407
2002-01-01,44081777,286725139,105645569,103802488,1173243058,19490707,205267912,180030018,73360283,20760381,165950281
2003-01-01,44741432,289613775,106310251,108356677,1196293963,19993323,208119336,182197134,76489615,20842458,170305913
2004-01-01,46772694,296343708,110922028,114447063,1242189717,20986398,215653619,186706882,81201093,21604880,176003000
2005-01-01,48819833,301185134,116741899,121045702,1287968143,21978163,223242339,190724529,85150488,22176296,183801239
2006-01-01,50831193,315591727,124615614,128782835,1356457718,23029100,231952379,197508366,92977253,23035653,192549960
2007-01-01,53289845,326558481,128434929,136152832,1422207570,24470650,240827907,203319472,101775522,23940892,197251884
2008-01-01,54805093,331868520,131053549,137029709,1448595740,25326088,244235011,202686959,109390648,24380860,195747146
2009-01-01,52461871,315558293,123376781,128903684,1376338888,23209314,236918301,192110969,109402654,23366762,183840955
2010-01-01,55265569,332104191,125855107,130353020,1425620189,24117446,244561209,198013156,116432080,24089674,189511727
2011-01-01,57634039,347400953,130179967,129743045,1468963945,25096261,252615094,200508389,123491378,23428286,193848606
2012-01-01,58403423,351099975,132036907,125785194,1467628869,25235303,254278154,194406257,125864470,22373698,199854560
2013-01-01,58905936,355293336,134502600,124141486,1477291270,25289390,258217417,191255076,127396651,22474225,205962905
2014-01-01,60659415,365251953,137185035,127156325,1512930758,25285229,262434155,192521193,133673344,23047702,213087861
2015-01-01,62006776,375822907,140898815,132416368,1567412083,25597699,267978997,196181258,139979590,23741713,223638734
2016-01-01,64123162,386694734,145420457,136132380,1608406561,26373330,272397006,199842957,145529067,24425271,228759155
2017-01-01,66357945,399599436,150347140,141556773,1668028249,27217217,279642776,204847472,155039446,25510154,230803822
2018-01-01,68296589,410324004,155509654,145907816,1721069765,28006689,286137438,208176198,165926296,26558933,234786557
2019-01-01,70107404,419524817,159241790,149426498,1775203354,28585167,293545946,209480936,174228972,27626702,240956463
2020-01-01,66461777,401340102,156647554,133002851,1678010222,27758942,272224691,190743170,172420583,25432941,0
2021-01-01,72870192,424412144,169579851,145205909,1810982784,29092083,293269920,210262701,191175306,27458416,0
2022-01-01,78284583,450795044,177630186,158514125,1948836258,30630975,309916411,228216250,209905850,30385405,0
2023-01-01,79057854,458353596,181458538,165621117,1998040789,30680999,319302938,234181165,218028549,32130360,0
2024-01-01,80172715,463860134,187045869,173466530,2046287792,30944942,324934797,238027406,230029159,33613607,0
