DATAFLOW,LAST UPDATE,freq,statinfo,unit,isced11,life_sat,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,AL,2018,6.3,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,AL,2021,6.3,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,AL,2022,6.6,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,AT,2013,8.4,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,AT,2018,8.3,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,AT,2021,8.2,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,AT,2022,8.1,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,AT,2023,7.9,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,AT,2024,7.7,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,BE,2013,7.7,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,BE,2018,7.9,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,BE,2021,7.5,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,BE,2022,7.8,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,BE,2023,7.8,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,BE,2024,7.9,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,BG,2013,6.2,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,BG,2018,6.7,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,BG,2021,6.8,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,BG,2022,6.4,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,BG,2023,6.9,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,BG,2024,7.2,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,CH,2013,8.3,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,CH,2018,8.5,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,CH,2021,7.9,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,CH,2022,7.5,,
ESTAT:ILC_PW01(1.0),10/10/25 11:00:00,A,AVG,RTG,ED0-2,LIFE,F,Y16-19,CH,2023,6.8,,
