EXPEDIENTE;PROCEDIMIENTO;OBJETO;DURACIÓN (MESES);IMP. LICITACIÓN (IVA INCLUIDO);IMP. ADJUDICACIÓN (IVA INCLUIDO);ADJUDICATARIO
181/2023/27006;;SERVICIO DE GESTIÓN SANITARIA PARA EL ÁREA DE DEPORTES. AÑO 2023 Y SIGUIENTES;1;;175.000,00 €;INSTINTO DEPORTIVO,S.L.
140/2025/27006;NEGOCIADO SIN PUBLICIDAD;MONTAJE Y DESMONTAJE DE PLAZA DE TOROS Y SUMINISTRO DE MATERIAL POR DETERIORO Y DESGASTE. FERIA TAURINA DE ARGANDA DEL REY.  FIESTAS PATRONALES 2025.;3;;66.979,86 €;STAGE MUSIC,S.L.
170/2025/27006;NEGOCIADO SIN PUBLICIDAD;GANADERÍA “TOROS DE PABLO MAYORAL”, INCLUIDOS DERECHOS DE MAYORAL, PARA SU LIDIA EL DÍA 9 DE SEPTIEMBRE DE 2025,  EN LA PLAZA DE TOROS DE ARGANDA DEL REY.;;;24.794,11 €;MARIA DEL MAR MAYORAL FIGUEROA
63/2023/27006;;SERVICIO DE PREVENCIÓN Y CONTROL INTEGRADO DE PLAGAS EN EL TÉRMINO MUNICIPAL DE ARGANDA DEL REY;12;;62.315,00 €;NATURALIZA NATURALEZA URBANA,S.A.
16/2025/27006;VARIOS CRITERIOS, ABIERTO SIMPLIFICADO  CON PUBL.;SERVICIO DE EMISIÓN, GESTIÓN Y VENTA DE ENTRADAS, MEDIANTE LA PUESTA A DISPOSICIÓN, MANTENIMIENTO Y ACTUALIZACIÓN DE LOS ELEMENTOS NECESARIOS PARA LA VENTA PRESENCIAL Y ONLINE, DE LOS EVENTOS ORGANIZADOS O QUE SE DETERMINEN POR LA CONCEJALÍA DE CULTURA DEL AYUNTAMIENTO DE ARGANDA DEL REY EN EL AUDITORIO MONTSERRAT CABALLÉ Y DE FORMA OCASIONAL, DURANTE LAS FIESTAS, EN LA PLAZA DE TOROS;24;29.803,95 €;0,00 €;GIGLÓN,S.L.
31/2022/27006;;SERVICIOS DE PAGO MEDIANTE DE CRÉDICO Y DÉBITO A TRAVÉS DE TPV VIRTUAL Y FÍSCIO;12;;15.000,00 €;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.
110/2023/27006;;SERVICIO DE PIROTECNIA EN FIESTAS PATRONALES, FIESTAS DE BARRIOS Y NAVIDAD EN ARGANDA DEL REY;12;;62.908,05 €;FA DEL MEDITERRÁNEO,S.L.U.
329/2023/27006;VARIOS CRITERIOS, ABIERTO SIMPLIFICADO, CON PUBL.;DISEÑO, EJECUCIÓN Y EVALUACIÓN DE ACCIONES FORMATIVAS DE PREVENCIÓN DEL CONSUMO DE TABACO, CANNABIS EN EL AMBITO EDUCATIVO;24;;30.000,00 €;NATUR DEL SIGLO XXI,S.L.
290/2021/27006;;ADQUISICIÓN DE LICENCIAS DE OFFICE 365 Y SERVICIO DE SUBSCRIPCIÓN DE CORREO ELECTRÓNICO DE LOS DOMINIOS ayto-arganda.es Y argandadeportiva.com ASI COMO LOS SERVICIOS DE MIGRACIÓN Y SOPORTE PARA EL AYUNTAMIENTO DE ARGANDA DEL REY (MADRID)”;12;;59.386,80 €; SPHERA DESARROLLO E INNOVACIÓN EN TECNOLOGÍAS DE LA INFORMACIÓN S.A.
329/2023/27006;;DISEÑO, EJECUCIÓN Y EVALUACIÓN DE ACCIONES FORMATIVAS DE PREVENCIÓN DEL CONSUMO DE TABACO, CANNABIS EN EL AMBITO EDUCATIVO;24;;30.000,00 €;NATUR DEL SIGLO XXI,S.L.
141/2025/27006;NEGOCIADO SIN PUBLICIDAD;GANADERÍA “ALDEANUEVA”, INCLUIDOS DERECHOS DE MAYORAL, PARA SU LIDIA EL DÍA 11 DE SEPTIEMBRE DE 2025, EN LA PLAZA DE TOROS DE ARGANDA DEL REY;;;24.200,00 €;María Ramos Romero
145/2025/27006;NEGOCIADO SIN PUBLICIDAD;GANADERÍA “CERRO LONGO” (JUAN JULIÁN REVELLES SANZ), INCLUIDOS DERECHOS DE MAYORAL, PARA SU LIDIA EL DÍA 16 DE SEPTIEMBRE DE 2025, EN LA PLAZA DE TOROS DE ARGANDA DEL REY.;;;11.371,58 €;JULIAN REVELLES SANZ
175/2025/27006;NEGOCIADO SIN PUBLICIDAD;CONTRATACIÓN DE LA GANADERÍA TOROS DE SANTANDER REDONDO, INCLUIDOS DERECHOS DE MAYORAL, PARA SU SUELTA DURANTE LOS FESTEJOS TAURINOS PROGRAMADOS PARA EL AÑO 2025. FERIA TAURINA.;;;66.211,20 €;TOROS DE SANTANDER REDONDO S.L
172/2025/27006;NEGOCIADO SIN PUBLICIDAD;GANADERÍA “JOSÉ CRUZ” (OTSO S.L.), INCLUIDOS DERECHOS DE MAYORAL, PARA SU LIDIA EL DÍA 10 DE SEPTIEMBRE DE 2025, EN LA PLAZA DE TOROS DE ARGANDA DEL REY;;;24.521,86 €;GANADERÍA JOSÉ CRUZ
