lead_time,portuguese
7,Non Portuguese
13,Non Portuguese
14,Non Portuguese
14,Non Portuguese
0,Portuguese
9,Portuguese
85,Portuguese
75,Portuguese
23,Portuguese
35,Portuguese
68,Non Portuguese
18,Non Portuguese
37,Portuguese
68,Non Portuguese
37,Portuguese
12,Non Portuguese
0,Non Portuguese
7,Non Portuguese
37,Non Portuguese
72,Portuguese
72,Portuguese
72,Portuguese
127,Non Portuguese
78,Portuguese
48,Non Portuguese
60,Portuguese
77,Portuguese
99,Portuguese
118,Non Portuguese
95,Non Portuguese
96,Portuguese
69,Non Portuguese
45,Portuguese
40,Portuguese
15,Non Portuguese
36,Portuguese
43,Portuguese
70,Non Portuguese
45,Portuguese
45,Non Portuguese
16,Non Portuguese
70,Non Portuguese
107,Portuguese
47,Portuguese
96,Non Portuguese
113,Non Portuguese
90,Non Portuguese
50,Non Portuguese
113,Non Portuguese
93,Non Portuguese
76,Non Portuguese
3,Non Portuguese
1,Non Portuguese
1,Non Portuguese
0,Portuguese
0,Portuguese
0,Portuguese
14,Non Portuguese
10,Portuguese
5,Non Portuguese
17,Non Portuguese
93,Non Portuguese
3,Portuguese
10,Non Portuguese
3,Non Portuguese
51,Non Portuguese
71,Portuguese
63,Portuguese
62,Portuguese
101,Portuguese
2,Portuguese
15,Non Portuguese
51,Portuguese
3,Non Portuguese
48,Portuguese
2,Portuguese
72,Non Portuguese
81,Portuguese
99,Non Portuguese
368,Portuguese
364,Non Portuguese
81,Portuguese
99,Non Portuguese
324,Non Portuguese
69,Non Portuguese
79,Portuguese
12,Non Portuguese
9,Portuguese
1,Non Portuguese
21,Portuguese
9,Non Portuguese
109,Non Portuguese
109,Portuguese
72,Portuguese
63,Portuguese
63,Non Portuguese
101,Portuguese
102,Non Portuguese
4,Non Portuguese
98,Non Portuguese
92,Non Portuguese
95,Portuguese
102,Portuguese
26,Portuguese
73,Portuguese
102,Portuguese
115,Portuguese
102,Portuguese
86,Non Portuguese
78,Portuguese
52,Non Portuguese
29,Portuguese
101,Portuguese
109,Portuguese
92,Non Portuguese
92,Portuguese
79,Portuguese
2,Portuguese
30,Portuguese
51,Portuguese
36,Portuguese
73,Portuguese
33,Portuguese
8,Non Portuguese
100,Non Portuguese
1,Portuguese
100,Non Portuguese
100,Non Portuguese
9,Non Portuguese
5,Portuguese
0,Non Portuguese
9,Non Portuguese
2,Portuguese
2,Portuguese
9,Non Portuguese
5,Portuguese
2,Portuguese
44,Portuguese
80,Non Portuguese
97,Non Portuguese
109,Non Portuguese
30,Non Portuguese
64,Portuguese
39,Non Portuguese
90,Portuguese
34,Portuguese
93,Portuguese
97,Portuguese
29,Non Portuguese
101,Portuguese
27,Non Portuguese
8,Non Portuguese
82,Portuguese
94,Portuguese
110,Non Portuguese
96,Non Portuguese
79,Non Portuguese
115,Portuguese
111,Portuguese
51,Non Portuguese
94,Non Portuguese
81,Non Portuguese
84,Portuguese
51,Non Portuguese
2,Portuguese
7,Portuguese
98,Non Portuguese
95,Non Portuguese
48,Portuguese
66,Portuguese
104,Portuguese
28,Portuguese
34,Portuguese
98,Non Portuguese
104,Portuguese
68,Portuguese
86,Portuguese
258,Non Portuguese
111,Portuguese
94,Portuguese
112,Non Portuguese
