Infraccio_Codi;Infraccio_Desc_Curta_CA;Infraccio_Desc_Curta_ES;Infraccio_Desc_Llarga_CA;Infraccio_Desc_Llarga_ES;Data_Inici_Vigencia;Data_Fi_Vigencia;Article;Normativa;Import_Nominal_?;Tipus_Infraccio;Punts_A_Retirar;Autoritat
910;NO IDENTIFIC CONDUCT RESPONS INFRACCIO;NO IDENTIFIC CONDUCT RESPONS INFRACCION;;-;2005-03-16;9999-12-31;77. J;LSV;301;E;0;Il.lm./a Sr./a Regidor/a del Districte
912;NO IDENTIFICAR EL CONDUCTOR RESPONSABLE DE LA INFRACCIO;NO IDENTIFICAR AL CONDUCTOR RESPONSABLE DE LA INFRACCION;;-;1900-01-03;9999-12-31;77. J;LSV;301;E;0;Il.lm./a Sr./a Regidor/a del Districte
913;NO IDENTIFICAR EL CONDUCTOR RESPONSABLE DE LA INFRACCIO;NO IDENTIFICAR AL CONDUCTOR RESPONSABLE DE LA INFRACCION;;-;1900-01-03;9999-12-31;77. J;LSV;1000;E;0;Il.lm./a Sr./a Regidor/a del Districte
1001;INSTAL SENYAL V PUB SENSE PERMIS O CAUSA;INSTAL SENAL V PUBL SIN PERMISO O CAUSA;Instal.lar senyalitzacio en una via publica sense autoritzacio municipal o sense causa greu que ho justifiqui;-;2003-05-21;9999-12-31;73.C A;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1002;COL.LOC SOBRE SENYAL/COSTAT OBJ PUBLICIT;COLOCAR SOBRE SENAL/LADO OBJETO PUBLICIT;Col.locar publicitat a sobre o al costat dels senyals;-;2003-05-21;9999-12-31;73.B A;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1003;COL.LOC OBJ QUE ENLL/LIMITI VISIO SENYAL;COLOC OBJ QUE DESLUM/LIMIT VISION SENAL;Col.locar objectes o instal.lacions que enlluernin, dificultin la visio d'algun senyal o distreguin l'atencio;-;2003-05-21;9999-12-31;73.C B;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1004;COL.LOCAR SENSE AUT OBST/OBJ DEST CIRCUL;COLOCAR SIN AUTOR OBST/OBJ ENTORP CIRCUL;Col.locar a la via publica obstacles o objectes que destorbin o pertorbin la circulacio de vianants o vehicles sense autoritzacio.;-;2003-05-21;9999-12-31;73.A H;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1005;COL OBST AUTOR SENSE PROT/SENYAL/IL.LUM;COL OBST AUTOR SIN PROTEC/SENAL/ILUMINA;Col.locar a la via publica un obstacle, estant autoritzat, sense proteccio, senyalitzacio i/o il.luminacio que garanteixi la seguretat dels usuaris;-;2003-05-21;9999-12-31;62. 2;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1006;CIRCULAR O ATURAR-SE A LA CALCADA;CIRCULAR O PARARSE EN LA CAZADA;Circular per la calcada o aturar-s'hi creant perill o pertorbant la fluidesa del transit.;-;2002-01-01;9999-12-31;5. 1;OCVV;30;M;0;Il.lm./a Sr./a Regidor/a del Districte
1007;CREUAR CALCADA NO FENT CAS DEL SENYAL;CRUZAR CALZADA NO HACIENDO CASO DE SENAL;Travessar la calcada sense fer cas de les indicacions dirigides als vianants;-;2002-01-01;9999-12-31;5. 3;OCVV;30;M;0;Il.lm./a Sr./a Regidor/a del Districte
1008;CREUAR CALCADA FORA PAS VIANANT S/PRECAU;CRUZAR CALZADA FUERA PASO PEAT S/PRECAUC;Travessar la calcada fora del lloc destinat al pas de vianants, o fer-ho sense les precaucions necessaries.;-;2002-01-01;9999-12-31;5. 2;OCVV;30;M;0;Il.lm./a Sr./a Regidor/a del Districte
1010;PUJ/BAIX VEH COST CALCADA CREANT PERILL;SUB/BAJAR VEH LADO CALZADA CREANDO PELIG;Pujar al vehicle o baixar-ne pel costat de la calcada creant perill.;-;2017-02-15;9999-12-31;70.2 P;OCVV;40;M;0;Il.lm./a Sr./a Regidor/a del Districte
1011;PARAR CARR/PLAC S/VORERES MENYS 1M FACAN;PARAR CALL/PLAZ S/ACERAS MENOS 1M FACHAD;Parar en carrers o places sense vorera sense ajustar-se a la distancia minima d'un metre de la facana.;-;2002-01-01;9999-12-31;70.2 P;OCVV;30;E;0;Il.lm./a Sr./a Regidor/a del Districte
1012;PARAR TUNEL/CORBA/CANVI RASANT VISIB RED;PARAR TUNEL/CURVA/CAMBIO RASAN VISIB RED;Parar en un revolt o un canvi de rasant amb visibilitat reduida o tunel.;-;2003-05-21;9999-12-31;70.2 A;OCVV;90;E;0;Il.lm./a Sr./a Regidor/a del Districte
1013;PARAR-SE EN PAS DE CICLISTES;PARARSE EN PASO DE CICLISTAS;Parar en un pas de ciclistes.;-;2010-05-25;9999-12-31;70.2 B;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
1014;PARAR-SE EN PAS PER A VIANANTS;PARARSE EN PASO DE PEATONES;Parar en un pas de vianants.;-;2010-05-25;9999-12-31;70.2 B;OCVV;60;E;0;Il.lm./a Sr./a Regidor/a del Districte
